,1e-15,1e-14,1e-13,1e-12,1e-11,1e-10
99,45.27436,125.05888,379.60107,781.863,789.3807,789.39386
100,45.45421,125.64834,381.47867,782.1923,789.38007,789.37964
101,45.634007,126.23486,383.34616,782.5071,789.3805,789.39575
102,45.8138,126.818504,385.20367,782.8082,789.38055,789.4104
103,45.9936,127.39933,387.0513,783.0961,789.3811,789.38666
104,46.173393,127.97739,388.88916,783.3714,789.3803,789.39026
105,46.35319,128.5527,390.71732,783.6344,789.3805,789.3586
106,46.532986,129.1253,392.53595,783.88605,789.3809,789.3992
107,46.712784,129.69525,394.3451,784.12665,789.3805,789.39276
108,46.89258,130.26257,396.14493,784.35657,789.3799,789.40137
109,47.072376,130.82733,397.9354,784.5765,789.38025,789.3928
110,47.252174,131.38953,399.71667,784.78687,789.38043,789.4005
111,47.42347,131.94896,401.48883,784.9879,789.3804,789.4236
112,47.594715,132.50587,403.25204,785.18,789.38025,789.406
113,47.765965,133.06035,405.00626,785.36395,789.3792,789.40076
114,47.93721,133.61237,406.75162,785.53955,789.3803,789.36804
115,48.10846,134.16203,408.48822,785.7077,789.38055,789.38934
116,48.27971,134.70935,410.2161,785.86835,789.3804,789.3922
117,48.45096,135.2543,411.93542,786.022,789.38086,789.3709
118,48.622204,135.79695,413.64615,786.1687,789.3805,789.39966
119,48.793453,136.33739,415.34836,786.30914,789.38074,789.3902
120,48.9647,136.87556,417.04227,786.44336,789.38074,789.3833
121,49.13595,137.41148,418.7278,786.57166,789.3805,789.3947
122,49.299805,137.9451,420.405,786.69446,789.3806,789.39777
123,49.463615,138.47647,422.07407,786.81177,789.37976,789.40094
124,49.627422,139.00569,423.73492,786.9241,789.3794,789.39026
125,49.791233,139.53287,425.38773,787.0313,789.37994,789.3996
126,49.955044,140.05795,427.03256,787.1338,789.37933,789.3958
127,50.11885,140.58095,428.6695,787.23193,789.38025,789.3819
128,50.28266,141.10193,430.2984,787.32574,789.3804,789.38367
129,50.446472,141.62093,431.91956,787.41534,789.3806,789.37476
130,50.610283,142.13792,433.53284,787.5011,789.3794,789.4009
131,50.77409,142.65294,435.1384,787.58307,789.379,789.3853
132,50.9379,143.16602,436.73633,787.6615,789.38043,789.4128
133,51.095207,143.67706,438.32666,787.73645,789.38086,789.3802
134,51.25247,144.18611,439.90942,787.80804,789.38025,789.39703
135,51.409733,144.69328,441.48465,787.87646,789.3805,789.4076
136,51.566994,145.19864,443.0525,787.94196,789.3805,789.3921
137,51.724255,145.70216,444.6128,788.0046,789.38074,789.38135
138,51.881516,146.20387,446.1658,788.06445,789.38086,789.40283
139,52.03878,146.70377,447.71152,788.1217,789.38055,789.38824
140,52.19604,147.2019,449.24994,788.1765,789.38025,789.3856
141,52.353302,147.69827,450.7811,788.2288,789.3806,789.40466
142,52.510567,148.1929,452.3051,788.27905,789.38,789.3891
143,52.667828,148.68585,453.822,788.3268,789.3794,789.38916
144,52.81931,149.17694,455.33176,788.3726,789.3799,789.3927
145,52.97075,149.6663,456.8345,788.4162,789.3794,789.4137
146,53.12219,150.15398,458.33023,788.458,789.3795,789.3993
147,53.273632,150.64005,459.81915,788.498,789.3799,789.3997
148,53.42507,151.12447,461.30093,788.53625,789.3806,789.3958
149,53.57651,151.60727,462.77594,788.5728,789.37976,789.4039
150,53.72795,152.0885,464.24414,788.6078,789.3799,789.4051
151,53.87939,152.56813,465.70547,788.64136,789.3799,789.37604
152,54.030834,153.04616,467.16006,788.67334,789.38025,789.39496
153,54.182274,153.52266,468.60803,788.70386,789.3801,789.39954
154,54.333714,153.99767,470.04916,788.7331,789.37933,789.3982
155,54.479973,154.47101,471.48373,788.761,789.3801,789.3812
156,54.626194,154.94276,472.9117,788.78754,789.3807,789.3811
157,54.772415,155.41302,474.33307,788.8132,789.3805,789.3897
158,54.918636,155.88187,475.74802,788.8377,789.3798,789.408
159,55.064854,156.3492,477.15634,788.861,789.3794,789.38965
160,55.211075,156.8151,478.5583,788.88324,789.3796,789.3948
161,55.357296,157.27959,479.95374,788.9047,789.38,789.36865
162,55.503517,157.74263,481.34286,788.9251,789.3805,789.38513
163,55.64974,158.20425,482.7256,788.94464,789.38043,789.39935
164,55.795956,158.6645,484.102,788.96326,789.3796,789.39197
165,55.942177,159.12335,485.47214,788.981,789.3806,789.4025
166,56.083717,159.58072,486.83603,788.99817,789.38025,789.39703
167,56.22522,160.03668,488.1936,789.0145,789.37964,789.397
168,56.366726,160.49132,489.54514,789.03,789.3799,789.37646
169,56.50823,160.94463,490.8904,789.0449,789.3794,789.4013
170,56.64973,161.39659,492.22958,789.0592,789.3803,789.4008
171,56.791233,161.84723,493.56268,789.0729,789.38074,789.39246
172,56.932735,162.29662,494.88974,789.0858,789.381,789.40094
173,57.074238,162.74469,496.2107,789.09827,789.3807,789.3689
174,57.21574,163.19147,497.52563,789.1102,789.3805,789.39575
175,57.357243,163.63702,498.8347,789.12164,789.38055,789.40466
176,57.498745,164.08128,500.13776,789.13257,789.3799,789.3973
177,57.636,164.52423,501.4349,789.1429,789.37964,789.39075
178,57.773216,164.9659,502.7262,789.1529,789.38043,789.3964
179,57.910435,165.40633,504.01163,789.1624,789.3796,789.40857
180,58.047653,165.84557,505.29117,789.1715,789.3797,789.41864
181,58.184868,166.28358,506.5651,789.1802,789.3793,789.4098
182,58.322086,166.72044,507.83307,789.18854,789.3795,789.38934
