,1e-15,1e-14,1e-13,1e-12,1e-11,1e-10
99,44.95219,124.42387,377.5306,778.7566,789.3779,789.3779
100,45.13758,125.015144,379.41092,779.1233,789.3779,789.3779
101,45.32297,125.606415,381.29123,779.49,789.3779,789.3779
102,45.50836,126.197685,383.17154,779.8567,789.3779,789.3779
103,45.693756,126.78896,385.05188,780.2234,789.3779,789.3779
104,45.879147,127.38023,386.9322,780.5901,789.3779,789.3779
105,46.064537,127.971504,388.8125,780.95685,789.3779,789.3779
106,46.249928,128.56277,390.6928,781.32355,789.3779,789.3779
107,46.43532,129.15405,392.57312,781.69025,789.3779,789.3779
108,46.620712,129.74532,394.45343,782.05695,789.3779,789.3779
109,46.806103,130.3366,396.33377,782.42365,789.3779,789.3779
110,46.991493,130.92787,398.21408,782.79034,789.3779,789.3779
111,47.176888,131.51913,400.0944,783.15704,789.3779,789.3779
112,47.362278,132.11041,401.9747,783.52374,789.3779,789.3779
113,47.54767,132.70168,403.855,783.89044,789.3779,789.3779
114,47.73306,133.29295,405.73535,784.25714,789.3779,789.3779
115,47.91845,133.88423,407.61566,784.6239,789.3779,789.3779
116,48.103844,134.4755,409.49597,784.9906,789.3779,789.3779
117,48.289234,135.06677,411.37628,785.3573,789.3779,789.3779
118,48.474625,135.65804,413.2566,785.724,789.3779,789.3779
119,48.660015,136.24931,415.1369,786.0907,789.3779,789.3779
120,48.845234,136.84003,417.01517,786.45557,789.3779,789.3779
121,49.001965,137.33864,418.55304,786.5165,789.3779,789.3779
122,49.15869,137.83725,420.09088,786.57745,789.3779,789.3779
123,49.315422,138.33588,421.62875,786.63837,789.3779,789.3779
124,49.47215,138.83449,423.1666,786.6993,789.3779,789.3779
125,49.628876,139.3331,424.70444,786.7602,789.3779,789.3779
126,49.785606,139.83171,426.24228,786.82117,789.3779,789.3779
127,49.942333,140.33032,427.78015,786.8821,789.3779,789.3779
128,50.099064,140.82895,429.318,786.943,789.3779,789.3779
129,50.25579,141.32756,430.85587,787.00397,789.3779,789.3779
130,50.41252,141.82617,432.3937,787.0649,789.3779,789.3779
131,50.56925,142.32478,433.93155,787.1258,789.3779,789.3779
132,50.725975,142.8234,435.4694,787.18677,789.3779,789.3779
133,50.882706,143.322,437.00726,787.2477,789.3779,789.3779
134,51.039433,143.82063,438.5451,787.3086,789.3779,789.3779
135,51.196163,144.31924,440.08298,787.3695,789.3779,789.3779
136,51.35289,144.81786,441.62082,787.4305,789.3779,789.3779
137,51.50962,145.31647,443.15866,787.4914,789.3779,789.3779
138,51.666348,145.81508,444.6965,787.5523,789.3779,789.3779
139,51.823074,146.31369,446.23438,787.6133,789.3779,789.3779
140,51.979805,146.81232,447.77222,787.6742,789.3779,789.3779
141,52.13653,147.31093,449.3101,787.7351,789.3779,789.3779
142,52.293262,147.80954,450.84793,787.7961,789.3779,789.3779
143,52.44999,148.30815,452.38577,787.857,789.3779,789.3779
144,52.606716,148.80676,453.9236,787.9179,789.3779,789.3779
145,52.763447,149.30539,455.4615,787.9788,789.3779,789.3779
146,52.920174,149.804,456.99933,788.0398,789.3779,789.3779
147,53.0769,150.30261,458.5372,788.1007,789.3779,789.3779
148,53.23363,150.80122,460.07504,788.1616,789.3779,789.3779
149,53.390358,151.29985,461.6129,788.2226,789.3779,789.3779
150,53.547085,151.79845,463.15073,788.2835,789.3779,789.3779
151,53.703815,152.29707,464.6886,788.3444,789.3779,789.3779
152,53.860542,152.79568,466.22644,788.4054,789.3779,789.3779
153,54.017273,153.2943,467.7643,788.4663,789.3779,789.3779
154,54.174,153.79291,469.30215,788.5272,789.3779,789.3779
155,54.33073,154.29153,470.84003,788.58813,789.3779,789.3779
156,54.487457,154.79015,472.37787,788.6491,789.3779,789.3779
157,54.644184,155.28876,473.9157,788.71,789.3779,789.3779
158,54.800915,155.78737,475.45355,788.77094,789.3779,789.3779
159,54.95764,156.28598,476.99142,788.8319,789.3779,789.3779
160,55.114223,156.78412,478.5272,788.8924,789.3779,789.3779
161,55.252514,157.22354,479.80573,788.9025,789.3779,789.3779
162,55.3908,157.66295,481.08426,788.91266,789.3779,789.3779
163,55.52909,158.10236,482.3628,788.9228,789.3779,789.3779
164,55.66738,158.54176,483.64133,788.9329,789.3779,789.3779
165,55.80567,158.98119,484.91986,788.94305,789.3779,789.3779
166,55.943962,159.4206,486.1984,788.9531,789.3779,789.3779
167,56.08225,159.85999,487.47693,788.96326,789.3779,789.3779
168,56.22054,160.29941,488.75546,788.9734,789.3779,789.3779
169,56.35883,160.73882,490.034,788.9835,789.3779,789.3779
170,56.49712,161.17822,491.31253,788.99365,789.3779,789.3779
171,56.635406,161.61763,492.59106,789.0038,789.3779,789.3779
172,56.7737,162.05705,493.8696,789.0139,789.3779,789.3779
173,56.911987,162.49646,495.14813,789.024,789.3779,789.3779
174,57.050274,162.93587,496.42667,789.0341,789.3779,789.3779
