sep= 
Time [s]	R2_m9 [ng/cm^2]	C1_m [ng/cm^2]
0.0000	Failed	Failed
1.3259	Failed	Failed
2.6424	Failed	Failed
3.9720	Failed	Failed
5.3007	Failed	Failed
6.6202	Failed	Failed
7.9322	Failed	Failed
9.2521	Failed	Failed
10.5679	Failed	Failed
11.8847	Failed	Failed
13.2185	Failed	Failed
14.5312	Failed	Failed
15.8569	Failed	Failed
17.1846	Failed	Failed
18.4968	Failed	Failed
19.8104	Failed	Failed
21.1236	Failed	Failed
22.4402	Failed	Failed
23.7539	Failed	Failed
25.0775	Failed	Failed
26.4040	Failed	Failed
27.7214	Failed	Failed
29.0383	Failed	Failed
30.3580	Failed	Failed
31.6776	Failed	Failed
32.9900	Failed	Failed
34.3063	Failed	Failed
35.6283	Failed	Failed
36.9349	Failed	Failed
38.2640	Failed	Failed
39.5849	Failed	Failed
40.8999	Failed	Failed
42.2129	Failed	Failed
43.5343	Failed	Failed
44.8447	Failed	Failed
46.1492	Failed	Failed
47.4651	Failed	Failed
48.7867	Failed	Failed
50.1061	Failed	Failed
51.4208	Failed	Failed
52.7391	Failed	Failed
54.0582	Failed	Failed
55.3814	Failed	Failed
56.7021	Failed	Failed
58.0164	Failed	Failed
59.3197	Failed	Failed
60.6378	Failed	Failed
61.9608	Failed	Failed
63.2812	Failed	Failed
64.6028	Failed	Failed
65.9183	Failed	Failed
67.2319	Failed	Failed
68.5624	Failed	Failed
69.8884	Failed	Failed
71.2019	Failed	Failed
72.5042	Failed	Failed
73.8077	Failed	Failed
75.1317	Failed	Failed
76.4438	Failed	Failed
77.7617	Failed	Failed
79.0797	Failed	Failed
80.3962	Failed	Failed
81.7132	Failed	Failed
83.0349	Failed	Failed
84.3561	Failed	Failed
85.6541	Failed	Failed
86.9716	Failed	Failed
88.2782	Failed	Failed
89.5963	Failed	Failed
90.9166	Failed	Failed
92.2308	Failed	Failed
93.5445	Failed	Failed
94.8579	Failed	Failed
96.1791	Failed	Failed
97.4946	Failed	Failed
98.8127	Failed	Failed
100.1279	Failed	Failed
101.4381	Failed	Failed
102.7581	Failed	Failed
104.0723	Failed	Failed
105.3776	Failed	Failed
106.7009	Failed	Failed
108.0127	Failed	Failed
109.3397	Failed	Failed
110.6627	Failed	Failed
111.9781	Failed	Failed
113.2829	Failed	Failed
114.5931	Failed	Failed
115.9117	Failed	Failed
117.2306	Failed	Failed
118.5530	Failed	Failed
119.8606	Failed	Failed
121.1780	Failed	Failed
122.4977	Failed	Failed
123.8049	Failed	Failed
125.1275	Failed	Failed
126.4333	Failed	Failed
127.7454	Failed	Failed
129.0576	Failed	Failed
130.3719	Failed	Failed
131.6970	Failed	Failed
133.0067	Failed	Failed
134.3181	Failed	Failed
135.6428	Failed	Failed
136.9626	Failed	Failed
138.2716	Failed	Failed
139.5765	Failed	Failed
140.8786	Failed	Failed
142.2000	Failed	Failed
143.5123	Failed	Failed
144.8234	Failed	Failed
146.1291	Failed	Failed
147.4483	Failed	Failed
148.7304	Failed	Failed
150.0463	Failed	Failed
151.3619	Failed	Failed
152.6794	Failed	Failed
153.9848	Failed	Failed
155.2887	Failed	Failed
156.5966	Failed	Failed
157.9058	Failed	Failed
159.2184	Failed	Failed
160.5165	Failed	Failed
161.8411	Failed	Failed
163.1510	Failed	Failed
164.4525	Failed	Failed
165.7807	Failed	Failed
167.0955	Failed	Failed
168.4184	Failed	Failed
169.7396	Failed	Failed
171.0606	Failed	Failed
176.5449	0.00	0.00
183.2213	0.00	0.00
187.0252	0.00	0.00
190.2206	0.00	0.00
190.5759	0.00	0.00
190.8855	0.00	0.00
191.2458	0.00	0.00
191.6301	0.00	0.00
191.9276	0.00	0.00
192.2590	0.00	0.00
192.6121	0.00	0.00
192.9644	0.00	0.00
193.2795	0.00	0.00
193.6367	0.00	0.00
193.9880	0.00	0.00
194.3066	0.00	0.00
194.6443	0.00	0.00
194.9974	0.00	0.00
