sep= 
Time [s]	R1_m5 [ng/cm^2]	C1_m [ng/cm^2]
0.0000	Failed	Failed
0.6794	Failed	Failed
1.3595	Failed	Failed
2.0383	Failed	Failed
2.7189	Failed	Failed
3.3998	Failed	Failed
4.0807	Failed	Failed
4.7601	Failed	Failed
5.4399	Failed	Failed
6.1214	Failed	Failed
6.8028	Failed	Failed
7.4818	Failed	Failed
8.1618	Failed	Failed
8.8391	Failed	Failed
9.5209	Failed	Failed
10.1990	Failed	Failed
10.8764	Failed	Failed
11.5536	Failed	Failed
12.2351	Failed	Failed
12.9167	Failed	Failed
13.5973	Failed	Failed
14.2785	Failed	Failed
14.9568	Failed	Failed
15.6377	Failed	Failed
16.3190	Failed	Failed
16.9989	Failed	Failed
17.6786	Failed	Failed
18.3585	Failed	Failed
19.0355	Failed	Failed
19.7144	Failed	Failed
20.3949	Failed	Failed
21.0739	Failed	Failed
21.7548	Failed	Failed
22.4359	Failed	Failed
23.1158	Failed	Failed
23.7962	Failed	Failed
24.4761	Failed	Failed
25.1548	Failed	Failed
25.8353	Failed	Failed
26.5158	Failed	Failed
27.1937	Failed	Failed
27.8747	Failed	Failed
28.5543	Failed	Failed
29.2356	Failed	Failed
29.9167	Failed	Failed
30.5962	Failed	Failed
31.2767	Failed	Failed
31.9548	Failed	Failed
32.6361	Failed	Failed
33.3164	Failed	Failed
33.9967	Failed	Failed
34.6766	Failed	Failed
35.3568	Failed	Failed
36.0354	Failed	Failed
36.7162	Failed	Failed
37.3992	Failed	Failed
38.0780	Failed	Failed
38.7580	Failed	Failed
39.4172	Failed	Failed
40.0942	Failed	Failed
40.7719	Failed	Failed
41.4542	Failed	Failed
42.1342	Failed	Failed
42.8153	Failed	Failed
43.4952	Failed	Failed
44.1746	Failed	Failed
44.8524	Failed	Failed
45.5304	Failed	Failed
46.2107	Failed	Failed
46.8905	Failed	Failed
47.5696	Failed	Failed
48.2492	Failed	Failed
48.9291	Failed	Failed
49.6096	Failed	Failed
50.2892	Failed	Failed
50.9704	Failed	Failed
51.6511	Failed	Failed
52.3308	Failed	Failed
53.0115	Failed	Failed
53.6908	Failed	Failed
54.3715	Failed	Failed
55.0504	Failed	Failed
55.7312	Failed	Failed
56.4117	Failed	Failed
