sep= 
Time [s]	R1_m5 [ng/cm^2]	C1_m [ng/cm^2]
0.0000	Failed	Failed
1.0064	Failed	Failed
2.0158	Failed	Failed
3.0235	Failed	Failed
4.0300	Failed	Failed
5.0373	Failed	Failed
6.0444	Failed	Failed
7.0395	Failed	Failed
8.0457	Failed	Failed
9.0523	Failed	Failed
10.0607	Failed	Failed
11.0673	Failed	Failed
12.0725	Failed	Failed
13.0784	Failed	Failed
14.0838	Failed	Failed
15.0897	Failed	Failed
16.0962	Failed	Failed
17.1022	Failed	Failed
18.1089	Failed	Failed
19.1139	Failed	Failed
20.1213	Failed	Failed
21.1262	Failed	Failed
22.1327	Failed	Failed
23.1354	Failed	Failed
24.1414	Failed	Failed
25.1446	Failed	Failed
26.1517	Failed	Failed
27.1564	Failed	Failed
28.1663	Failed	Failed
29.1735	Failed	Failed
30.1788	Failed	Failed
31.1846	Failed	Failed
32.1880	Failed	Failed
33.1910	Failed	Failed
34.1976	Failed	Failed
35.2046	Failed	Failed
36.2078	Failed	Failed
37.2160	Failed	Failed
38.2197	Failed	Failed
39.2269	Failed	Failed
40.2348	Failed	Failed
41.2422	Failed	Failed
42.2492	Failed	Failed
43.2579	Failed	Failed
44.2623	Failed	Failed
45.2702	Failed	Failed
46.2771	Failed	Failed
47.2848	Failed	Failed
48.2932	Failed	Failed
49.3009	Failed	Failed
50.3079	Failed	Failed
51.3153	Failed	Failed
52.3208	Failed	Failed
53.3273	Failed	Failed
54.3345	Failed	Failed
55.3423	Failed	Failed
56.3493	Failed	Failed
57.3544	Failed	Failed
58.3529	Failed	Failed
59.3597	Failed	Failed
60.3658	Failed	Failed
61.3709	Failed	Failed
62.3787	Failed	Failed
63.3866	Failed	Failed
64.3944	Failed	Failed
65.4023	Failed	Failed
66.4099	Failed	Failed
67.4093	Failed	Failed
68.4171	Failed	Failed
69.4251	Failed	Failed
70.4331	Failed	Failed
71.4412	Failed	Failed
72.4502	Failed	Failed
73.4586	Failed	Failed
74.4631	Failed	Failed
75.4713	Failed	Failed
76.4783	Failed	Failed
77.4851	Failed	Failed
78.4928	Failed	Failed
79.5011	Failed	Failed
80.5084	Failed	Failed
81.5134	Failed	Failed
