sep= 
Time [s]	R1_m5 [ng/cm^2]	C1_m [ng/cm^2]
0.0000	Failed	Failed
1.1414	Failed	Failed
2.2836	Failed	Failed
3.4255	Failed	Failed
4.5639	Failed	Failed
5.7067	Failed	Failed
6.8535	Failed	Failed
8.0001	Failed	Failed
9.1474	Failed	Failed
10.2944	Failed	Failed
11.4410	Failed	Failed
12.5881	Failed	Failed
13.7327	Failed	Failed
14.8804	Failed	Failed
16.0277	Failed	Failed
17.1744	Failed	Failed
18.3228	Failed	Failed
19.4699	Failed	Failed
20.6158	Failed	Failed
21.7637	Failed	Failed
22.9120	Failed	Failed
24.0575	Failed	Failed
25.2036	Failed	Failed
26.3504	Failed	Failed
27.4980	Failed	Failed
28.6452	Failed	Failed
29.7928	Failed	Failed
30.9388	Failed	Failed
32.0856	Failed	Failed
33.2326	Failed	Failed
34.3799	Failed	Failed
35.5258	Failed	Failed
36.6723	Failed	Failed
37.8192	Failed	Failed
38.9658	Failed	Failed
40.1100	Failed	Failed
41.2557	Failed	Failed
42.4032	Failed	Failed
43.5495	Failed	Failed
44.6947	Failed	Failed
45.8317	Failed	Failed
46.9788	Failed	Failed
48.1249	Failed	Failed
49.2715	Failed	Failed
50.4183	Failed	Failed
51.5636	Failed	Failed
52.7097	Failed	Failed
53.8552	Failed	Failed
55.0021	Failed	Failed
56.1475	Failed	Failed
57.2932	Failed	Failed
58.4398	Failed	Failed
59.5860	Failed	Failed
60.7288	Failed	Failed
61.8737	Failed	Failed
63.0198	Failed	Failed
64.1667	Failed	Failed
65.3137	Failed	Failed
66.4608	Failed	Failed
67.6054	Failed	Failed
68.7511	Failed	Failed
69.8980	Failed	Failed
71.0428	Failed	Failed
72.1883	Failed	Failed
73.3356	Failed	Failed
74.4818	Failed	Failed
75.6273	Failed	Failed
76.7755	Failed	Failed
77.9199	Failed	Failed
79.0658	Failed	Failed
80.2122	Failed	Failed
81.3584	Failed	Failed
82.5060	Failed	Failed
83.6515	Failed	Failed
84.7976	Failed	Failed
85.9417	Failed	Failed
87.0876	Failed	Failed
88.2336	Failed	Failed
89.3797	Failed	Failed
90.5257	Failed	Failed
91.6715	Failed	Failed
92.8168	Failed	Failed
93.9628	Failed	Failed
95.1095	Failed	Failed
96.2562	Failed	Failed
97.4025	Failed	Failed
98.5505	Failed	Failed
99.6967	Failed	Failed
100.8406	Failed	Failed
101.9850	Failed	Failed
103.1300	Failed	Failed
104.2765	Failed	Failed
105.4243	Failed	Failed
106.5608	Failed	Failed
107.7060	Failed	Failed
