sep= 
Time [s]	R1_m5 [ng/cm^2]	C1_m [ng/cm^2]
0.0000	Failed	Failed
1.0261	Failed	Failed
2.0510	Failed	Failed
3.0769	Failed	Failed
4.1031	Failed	Failed
5.1283	Failed	Failed
6.1538	Failed	Failed
7.1794	Failed	Failed
8.2045	Failed	Failed
9.2213	Failed	Failed
10.2463	Failed	Failed
11.2715	Failed	Failed
12.2970	Failed	Failed
13.3208	Failed	Failed
14.3466	Failed	Failed
15.3740	Failed	Failed
16.4001	Failed	Failed
17.4260	Failed	Failed
18.4518	Failed	Failed
19.4778	Failed	Failed
20.5023	Failed	Failed
21.5293	Failed	Failed
22.5533	Failed	Failed
23.5785	Failed	Failed
24.6020	Failed	Failed
25.6269	Failed	Failed
26.6504	Failed	Failed
27.6760	Failed	Failed
28.7006	Failed	Failed
29.7251	Failed	Failed
30.7489	Failed	Failed
31.7720	Failed	Failed
32.7979	Failed	Failed
33.8222	Failed	Failed
34.8473	Failed	Failed
35.8724	Failed	Failed
36.8970	Failed	Failed
37.9220	Failed	Failed
38.9479	Failed	Failed
39.9740	Failed	Failed
40.9998	Failed	Failed
42.0263	Failed	Failed
43.0524	Failed	Failed
44.0775	Failed	Failed
45.0957	Failed	Failed
46.1183	Failed	Failed
47.1428	Failed	Failed
48.1674	Failed	Failed
49.1924	Failed	Failed
50.2161	Failed	Failed
51.2395	Failed	Failed
52.2631	Failed	Failed
53.2894	Failed	Failed
54.3136	Failed	Failed
55.3325	Failed	Failed
56.3582	Failed	Failed
57.3830	Failed	Failed
58.4080	Failed	Failed
59.4325	Failed	Failed
60.4551	Failed	Failed
61.4805	Failed	Failed
62.5055	Failed	Failed
63.5318	Failed	Failed
64.5559	Failed	Failed
65.5798	Failed	Failed
66.6044	Failed	Failed
67.6288	Failed	Failed
68.6498	Failed	Failed
69.6702	Failed	Failed
70.6938	Failed	Failed
71.7176	Failed	Failed
72.7424	Failed	Failed
73.7571	Failed	Failed
74.7815	Failed	Failed
75.7998	Failed	Failed
76.8236	Failed	Failed
77.8477	Failed	Failed
78.8725	Failed	Failed
79.8968	Failed	Failed
80.9205	Failed	Failed
81.9438	Failed	Failed
82.9674	Failed	Failed
83.9899	Failed	Failed
85.0144	Failed	Failed
86.0390	Failed	Failed
87.0629	Failed	Failed
88.0869	Failed	Failed
89.1118	Failed	Failed
90.1327	Failed	Failed
91.1545	Failed	Failed
92.1780	Failed	Failed
93.2020	Failed	Failed
94.2268	Failed	Failed
95.2499	Failed	Failed
96.2723	Failed	Failed
97.2961	Failed	Failed
98.3209	Failed	Failed
99.3454	Failed	Failed
100.3694	Failed	Failed
101.3942	Failed	Failed
102.4175	Failed	Failed
103.4405	Failed	Failed
104.4644	Failed	Failed
105.4877	Failed	Failed
106.5127	Failed	Failed
107.5368	Failed	Failed
108.5587	Failed	Failed
109.5828	Failed	Failed
110.6068	Failed	Failed
111.6300	Failed	Failed
112.6511	Failed	Failed
113.6743	Failed	Failed
114.6973	Failed	Failed
115.7218	Failed	Failed
116.7459	Failed	Failed
117.7711	Failed	Failed
118.7962	Failed	Failed
119.8205	Failed	Failed
120.8430	Failed	Failed
121.8672	Failed	Failed
122.8916	Failed	Failed
123.9158	Failed	Failed
124.9388	Failed	Failed
125.9639	Failed	Failed
126.9888	Failed	Failed
128.0143	Failed	Failed
129.0367	Failed	Failed
130.0560	Failed	Failed
131.0783	Failed	Failed
132.1015	Failed	Failed
133.1214	Failed	Failed
134.1434	Failed	Failed
135.1648	Failed	Failed
136.1864	0.00	0.00
137.2082	0.00	0.00
138.2328	0.00	0.00
139.2556	0.00	0.00
140.2804	0.00	0.00
143.1813	0.00	0.00
146.5064	0.00	0.00
147.4420	0.00	0.00
147.7974	0.00	0.00
148.1482	0.00	0.00
148.4865	0.00	0.00
148.8420	0.00	0.00
149.1973	0.00	0.00
149.5593	0.00	0.00
149.9122	0.00	0.00
150.2670	0.00	0.00
150.6145	0.00	0.00
150.9637	0.00	0.00
151.3101	0.00	0.00
151.6577	0.00	0.00
152.0017	0.00	0.00
152.3979	0.00	0.00
152.7504	0.00	0.00
153.0978	0.00	0.00
153.4490	0.00	0.00
153.8044	0.00	0.00
154.1550	0.00	0.00
154.5055	0.00	0.00
154.8598	0.00	0.00
155.2149	0.00	0.00
155.5633	0.00	0.00
155.9085	0.00	0.00
156.2652	0.00	0.00
156.6254	0.00	0.00
156.9721	0.00	0.00
157.3162	0.00	0.00
157.6702	0.00	0.00
158.0153	0.00	0.00
158.3606	0.00	0.00
158.7105	0.00	0.00
159.0687	0.00	0.00
159.4197	0.00	0.00
159.7754	0.00	0.00
160.1248	0.00	0.00
160.4730	0.00	0.00
160.8243	0.00	0.00
161.1859	0.00	0.00
161.5304	0.00	0.00
161.8926	0.00	0.00
162.2484	0.00	0.00
162.5996	0.00	0.00
162.9476	0.00	0.00
163.2933	0.00	0.00
163.6402	0.00	0.00
163.9977	0.00	0.00
164.3490	0.00	0.00
164.7034	0.00	0.00
165.0704	0.00	0.00
165.4192	0.00	0.00
165.7660	0.00	0.00
166.1129	0.00	0.00
166.4625	0.00	0.00
166.8105	0.00	0.00
167.1558	0.00	0.00
167.5063	0.00	0.00
167.8596	0.00	0.00
168.2124	0.00	0.00
168.5762	0.00	0.00
168.9266	0.00	0.00
169.2813	0.00	0.00
169.6313	0.00	0.00
169.9774	0.00	0.00
170.3286	0.00	0.00
170.6876	0.00	0.00
171.0344	0.00	0.00
171.4061	0.00	0.00
171.7614	0.00	0.00
172.1292	0.00	0.00
172.4761	0.00	0.00
172.8179	0.00	0.00
173.1722	0.00	0.00
173.5216	0.00	0.00
173.9011	0.00	0.00
174.2572	0.00	0.00
174.6235	0.00	0.00
174.9692	0.00	0.00
175.3246	0.00	0.00
175.6894	0.00	0.00
176.0315	0.00	0.00
176.3795	0.00	0.00
176.7270	0.00	0.00
177.0695	0.00	0.00
177.4156	0.00	0.00
177.7715	0.00	0.00
178.1229	0.00	0.00
178.4723	0.00	0.00
178.8253	0.00	0.00
179.1897	0.00	0.00
179.5392	0.00	0.00
179.9051	0.00	0.00
180.2616	0.00	0.00
180.6391	0.00	0.00
181.0090	0.00	0.00
181.3600	0.00	0.00
181.7127	0.00	0.00
182.0771	0.00	0.00
182.4582	0.00	0.00
182.8113	0.00	0.00
183.1559	0.00	0.00
183.5154	0.00	0.00
183.8665	0.00	0.00
184.2227	0.00	0.00
184.5731	0.00	0.00
184.9200	0.00	0.00
185.2736	0.00	0.00
185.6377	0.00	0.00
186.0208	0.00	0.00
186.4033	0.00	0.00
186.7587	0.00	0.00
187.1351	0.00	0.00
187.4846	0.00	0.00
187.8372	0.00	0.00
188.1912	0.00	0.00
188.5381	0.00	0.00
188.9056	0.00	0.00
189.2318	0.00	0.00
189.5641	0.00	0.00
189.9105	0.00	0.00
190.2644	0.00	0.00
190.6413	0.00	0.00
191.0167	0.00	0.00
191.3647	0.00	0.00
191.7188	0.00	0.00
192.0779	0.00	0.00
192.4628	0.00	0.00
192.8168	0.00	0.00
193.1927	0.00	0.00
193.5345	0.00	0.00
193.8852	0.00	0.00
194.2347	0.00	0.00
194.5783	0.00	0.00
194.9657	0.00	0.00
195.3144	0.00	0.00
195.6608	0.00	0.00
196.0201	0.00	0.00
196.3675	0.00	0.00
196.7219	0.00	0.00
197.0876	0.00	0.00
197.4609	0.00	0.00
197.8050	0.00	0.00
198.1513	0.00	0.00
198.5292	0.00	0.00
198.9039	0.00	0.00
199.2593	0.00	0.00
199.6438	0.00	0.00
200.0288	0.00	0.00
200.4084	0.00	0.00
200.7636	0.00	0.00
201.1447	0.00	0.00
201.5260	0.00	0.00
201.9049	0.00	0.00
202.2599	0.00	0.00
202.6517	0.00	0.00
203.0751	0.00	0.00
203.4193	0.00	0.00
203.7740	0.00	0.00
204.1348	0.00	0.00
204.4806	0.00	0.00
204.8326	0.00	0.00
205.2057	0.00	0.00
205.5793	0.00	0.00
205.9676	0.00	0.00
206.3226	0.00	0.00
206.7002	0.00	0.00
207.0896	0.00	0.00
207.4779	0.00	0.00
207.8208	0.00	0.00
208.1707	0.00	0.00
208.5102	0.00	0.00
208.8525	0.00	0.00
209.2067	0.00	0.00
209.5841	0.00	0.00
209.9724	0.00	0.00
210.3255	0.00	0.00
210.7143	0.00	0.00
211.0572	0.00	0.00
211.5108	0.00	0.00
211.8597	0.00	0.00
212.2123	0.00	0.00
212.5876	0.00	0.00
213.0196	0.00	0.00
213.3635	0.00	0.00
213.7109	0.00	0.00
214.0574	0.00	0.00
214.4264	0.00	0.00
214.7827	0.00	0.00
215.1482	0.00	0.00
215.5303	0.00	0.00
215.9162	0.00	0.00
216.2708	0.00	0.00
216.6499	0.00	0.00
216.9855	0.00	0.00
217.2967	0.00	0.00
217.6095	0.00	0.00
217.9537	0.00	0.00
218.3530	0.00	0.00
218.7027	0.00	0.00
219.0894	0.00	0.00
219.4739	0.00	0.00
219.8121	0.00	0.00
220.1623	0.00	0.00
220.5484	0.00	0.00
220.9725	0.00	0.00
221.3169	0.00	0.00
221.6973	0.00	0.00
222.0722	0.00	0.00
222.4192	0.00	0.00
222.7664	0.00	0.00
223.1462	0.00	0.00
223.5480	0.00	0.00
223.9183	0.00	0.00
224.2737	0.00	0.00
224.6495	0.00	0.00
225.0065	0.00	0.00
225.3541	0.00	0.00
225.6994	0.00	0.00
226.0928	0.00	0.00
226.4740	0.00	0.00
226.8162	0.00	0.00
227.1846	0.00	0.00
227.5432	0.00	0.00
227.9239	0.00	0.00
228.2804	0.00	0.00
228.6466	0.00	0.00
229.0402	0.00	0.00
229.4223	0.00	0.00
229.7776	0.00	0.00
230.1468	0.00	0.00
230.5380	0.00	0.00
230.9720	0.00	0.00
231.3249	0.00	0.00
231.7160	0.00	0.00
232.1006	0.00	0.00
232.4768	0.00	0.00
232.8196	0.00	0.00
233.1823	0.00	0.00
233.5437	0.00	0.00
233.9281	0.00	0.00
234.2829	0.00	0.00
234.6580	0.00	0.00
235.0359	0.00	0.00
235.4004	0.00	0.00
235.7488	0.00	0.00
236.0880	0.00	0.00
236.4612	0.00	0.00
236.8045	0.00	0.00
237.1486	0.00	0.00
237.5320	0.00	0.00
237.9146	0.00	0.00
238.2694	0.00	0.00
238.6598	0.00	0.00
239.0432	0.00	0.00
239.4275	0.00	0.00
239.7820	0.00	0.00
240.1504	0.00	0.00
240.5283	0.00	0.00
240.8485	0.00	0.00
241.1881	0.00	0.00
241.5411	0.00	0.00
241.9184	0.00	0.00
242.2727	0.00	0.00
242.6551	0.00	0.00
243.0427	0.00	0.00
243.4480	0.00	0.00
243.8022	0.00	0.00
244.2240	0.00	0.00
244.5973	0.00	0.00
244.9592	0.00	0.00
245.3045	0.00	0.00
245.6495	0.00	0.00
246.0368	0.00	0.00
246.4269	0.00	0.00
246.7742	0.00	0.00
247.1625	0.00	0.00
247.5472	0.00	0.00
247.9811	0.00	0.00
248.3232	0.00	0.00
248.7022	0.00	0.00
249.1087	0.00	0.00
249.5092	0.00	0.00
249.8375	0.00	0.00
250.1908	0.00	0.00
250.5597	0.00	0.00
250.9148	0.00	0.00
251.2701	0.00	0.00
251.6662	0.00	0.00
252.0427	0.00	0.00
252.4356	0.00	0.00
252.7917	0.00	0.00
253.1685	0.00	0.00
253.5418	0.00	0.00
253.9125	0.00	0.00
254.2616	0.00	0.00
254.6698	0.00	0.00
255.0423	0.00	0.00
255.4168	0.00	0.00
255.7646	0.00	0.00
256.1316	0.00	0.00
256.4775	0.00	0.00
256.8265	0.00	0.00
257.2196	0.00	0.00
257.5940	0.00	0.00
258.0575	0.00	0.00
258.4341	0.00	0.00
258.7899	0.00	0.00
259.1736	0.00	0.00
259.5507	0.00	0.00
259.9248	0.00	0.00
260.2813	0.00	0.00
260.6620	0.00	0.00
261.0483	0.00	0.00
261.4266	0.00	0.00
261.7826	0.00	0.00
262.1624	0.00	0.00
262.5397	0.00	0.00
262.9165	0.00	0.00
263.2722	0.00	0.00
263.6712	0.00	0.00
264.0511	0.00	0.00
264.4406	0.00	0.00
264.7943	0.00	0.00
265.1642	0.00	0.00
265.5706	0.00	0.00
265.9315	0.00	0.00
266.2867	0.00	0.00
266.6656	0.00	0.00
267.0470	0.00	0.00
267.4450	0.00	0.00
267.7994	0.00	0.00
268.1735	0.00	0.00
268.5446	0.00	0.00
268.9108	0.00	0.00
269.2603	0.00	0.00
269.6495	0.00	0.00
270.0487	0.00	0.00
270.4396	0.00	0.00
270.7841	0.00	0.00
271.1781	0.00	0.00
271.5543	0.00	0.00
271.9128	0.00	0.00
272.2610	0.00	0.00
272.6730	0.00	0.00
273.0355	0.00	0.00
273.4321	0.00	0.00
273.7880	0.00	0.00
274.1780	0.00	0.00
274.5478	0.00	0.00
274.9360	0.00	0.00
275.2926	0.00	0.00
275.6831	0.00	0.00
276.0458	0.00	0.00
276.4348	0.00	0.00
276.7869	0.00	0.00
277.1636	0.00	0.00
277.5466	0.00	0.00
277.9413	0.00	0.00
278.2935	0.00	0.00
278.6795	0.00	0.00
279.0502	0.00	0.00
279.4433	0.00	0.00
279.7887	0.00	0.00
280.1716	0.00	0.00
280.5718	0.00	0.00
280.9971	0.00	0.00
281.3402	0.00	0.00
281.7361	0.00	0.00
282.1102	0.00	0.00
282.4986	0.00	0.00
282.8466	0.00	0.00
283.2360	0.00	0.00
283.5835	0.00	0.00
283.9781	0.00	0.00
284.3217	0.00	0.00
284.7347	0.00	0.00
285.1061	0.00	0.00
285.4908	0.00	0.00
285.8400	0.00	0.00
286.2336	0.00	0.00
286.6108	0.00	0.00
286.9778	0.00	0.00
287.3300	0.00	0.00
287.7390	0.00	0.00
288.0952	0.00	0.00
288.5022	0.00	0.00
288.8502	0.00	0.00
289.2352	0.00	0.00
289.6381	0.00	0.00
290.0494	0.00	0.00
290.4475	0.00	0.00
290.8028	0.00	0.00
291.1781	0.00	0.00
291.5700	0.00	0.00
291.9599	0.00	0.00
292.3155	0.00	0.00
292.6957	0.00	0.00
293.0725	0.00	0.00
293.4620	0.00	0.00
293.8172	0.00	0.00
294.2016	0.00	0.00
294.6274	0.00	0.00
295.0131	0.00	0.00
295.3630	0.00	0.00
295.7570	0.00	0.00
296.2421	0.00	0.00
296.6316	0.00	0.00
297.0178	0.00	0.00
297.3634	0.00	0.00
297.7436	0.00	0.00
298.1220	0.00	0.00
298.5214	0.00	0.00
298.9525	0.00	0.00
299.3073	0.00	0.00
299.6944	0.00	0.00
300.0425	0.00	0.00
300.4782	0.00	0.00
300.8195	0.00	0.00
301.1980	0.00	0.00
301.5375	0.00	0.00
301.9291	0.00	0.00
302.2840	0.00	0.00
302.6682	0.00	0.00
303.0437	0.00	0.00
303.4465	0.00	0.00
303.8001	0.00	0.00
304.1525	0.00	0.00
304.5275	0.00	0.00
304.9307	0.00	0.00
305.2857	0.00	0.00
305.6614	0.00	0.00
306.0486	0.00	0.00
306.4170	0.00	0.00
306.7724	0.00	0.00
307.1604	0.00	0.00
307.5390	0.00	0.00
307.9429	0.00	0.00
308.2946	0.00	0.00
308.6610	0.00	0.00
309.0536	0.00	0.00
309.4542	0.00	0.00
309.7855	0.00	0.00
310.2301	0.00	0.00
310.6092	0.00	0.00
310.9947	0.00	0.00
311.3451	0.00	0.00
311.7237	0.00	0.00
312.0805	0.00	0.00
312.4360	0.00	0.00
312.7786	0.00	0.00
313.1386	0.00	0.00
313.4754	0.00	0.00
313.8146	0.00	0.00
314.1625	0.00	0.00
314.5517	0.00	0.00
314.9353	0.00	0.00
315.2894	0.00	0.00
315.6699	0.00	0.00
316.0457	0.00	0.00
316.4363	0.00	0.00
316.7902	0.00	0.00
317.1670	0.00	0.00
317.5416	0.00	0.00
317.9253	0.00	0.00
318.2730	0.00	0.00
318.6558	0.00	0.00
319.0278	0.00	0.00
319.4353	0.00	0.00
319.7898	0.00	0.00
320.1587	0.00	0.00
320.5229	0.00	0.00
320.9394	0.00	0.00
321.2943	0.00	0.00
321.6691	0.00	0.00
322.0450	0.00	0.00
322.4411	0.00	0.00
322.7947	0.00	0.00
323.1609	0.00	0.00
323.5490	0.00	0.00
323.9403	0.00	0.00
324.2858	0.00	0.00
324.6454	0.00	0.00
325.0411	0.00	0.00
325.4390	0.00	0.00
325.7923	0.00	0.00
326.1629	0.00	0.00
326.5503	0.00	0.00
326.9082	0.00	0.00
327.2637	0.00	0.00
327.6811	0.00	0.00
328.0526	0.00	0.00
328.4498	0.00	0.00
328.8031	0.00	0.00
329.1834	0.00	0.00
329.5535	0.00	0.00
329.9240	0.00	0.00
330.2784	0.00	0.00
330.6640	0.00	0.00
331.0314	0.00	0.00
331.4160	0.00	0.00
331.7701	0.00	0.00
332.1678	0.00	0.00
332.5226	0.00	0.00
332.9370	0.00	0.00
333.2930	0.00	0.00
333.6819	0.00	0.00
334.0515	0.00	0.00
334.5188	0.00	0.00
334.8311	0.00	0.00
335.1778	0.00	0.00
335.5279	0.00	0.00
335.9370	0.00	0.00
336.2836	0.00	0.00
336.6564	0.00	0.00
337.0289	0.00	0.00
337.3661	0.00	0.00
337.7101	0.00	0.00
338.0872	0.00	0.00
338.5484	0.00	0.00
338.9267	0.00	0.00
339.2729	0.00	0.00
339.6518	0.00	0.00
340.0272	0.00	0.00
340.4449	0.00	0.00
340.7891	0.00	0.00
341.1523	0.00	0.00
341.5273	0.00	0.00
341.9419	0.00	0.00
342.2869	0.00	0.00
342.6447	0.00	0.00
343.0221	0.00	0.00
343.4522	0.00	0.00
343.8049	0.00	0.00
344.1657	0.00	0.00
344.5378	0.00	0.00
344.9140	0.00	0.00
345.2569	0.00	0.00
345.5968	0.00	0.00
345.9762	0.00	0.00
346.3300	0.00	0.00
346.7390	0.00	0.00
347.1018	0.00	0.00
347.4723	0.00	0.00
347.8171	0.00	0.00
348.2026	0.00	0.00
348.6119	0.00	0.00
348.9874	0.00	0.00
349.3375	0.00	0.00
349.7323	0.00	0.00
350.0915	0.00	0.00
350.4168	0.00	0.00
350.7716	0.00	0.00
351.1686	0.00	0.00
351.5562	0.00	0.00
351.9465	0.00	0.00
352.3029	0.00	0.00
352.6886	0.00	0.00
353.0540	0.00	0.00
353.4414	0.00	0.00
353.7944	0.00	0.00
354.1612	0.00	0.00
354.5304	0.00	0.00
354.9128	0.00	0.00
355.2613	0.00	0.00
355.6819	0.00	0.00
356.0599	0.00	0.00
356.4444	0.00	0.00
356.7900	0.00	0.00
357.1719	0.00	0.00
357.5350	0.00	0.00
357.9428	0.00	0.00
358.2961	0.00	0.00
358.6792	0.00	0.00
359.0268	0.00	0.00
359.4380	0.00	0.00
359.7919	0.00	0.00
360.1713	0.00	0.00
360.5659	0.00	0.00
360.9195	0.00	0.00
361.2756	0.00	0.00
361.6721	0.00	0.00
362.0591	0.00	0.00
362.4500	0.00	0.00
362.7992	0.00	0.00
363.1766	0.00	0.00
363.5743	0.00	0.00
363.9452	0.00	0.00
364.2908	0.00	0.00
364.6779	0.00	0.00
365.0701	0.00	0.00
365.4425	0.00	0.00
365.7975	0.00	0.00
366.1819	0.00	0.00
366.5633	0.00	0.00
366.9493	0.00	0.00
367.3034	0.00	0.00
367.6848	0.00	0.00
368.0595	0.00	0.00
368.4478	0.00	0.00
368.7942	0.00	0.00
369.1702	0.00	0.00
369.5799	0.00	0.00
369.9920	0.00	0.00
370.3197	0.00	0.00
370.8073	0.00	0.00
371.1824	0.00	0.00
371.5725	0.00	0.00
371.9424	0.00	0.00
372.2953	0.00	0.00
372.6740	0.00	0.00
373.0607	0.00	0.00
373.4477	0.00	0.00
373.8004	0.00	0.00
374.1721	0.00	0.00
374.5689	0.00	0.00
374.9453	0.00	0.00
375.2982	0.00	0.00
375.6768	0.00	0.00
376.0403	0.00	0.00
376.4510	0.00	0.00
376.8034	0.00	0.00
377.1818	0.00	0.00
377.5584	0.00	0.00
377.9245	0.00	0.00
378.2730	0.00	0.00
378.6768	0.00	0.00
379.0551	0.00	0.00
379.4534	0.00	0.00
379.8017	0.00	0.00
380.1653	0.00	0.00
380.5593	0.00	0.00
380.9496	0.00	0.00
381.2944	0.00	0.00
381.6613	0.00	0.00
382.0599	0.00	0.00
382.4453	0.00	0.00
382.7995	0.00	0.00
383.1791	0.00	0.00
383.5458	0.00	0.00
383.9590	0.00	0.00
384.3134	0.00	0.00
384.7364	0.00	0.00
385.1278	0.00	0.00
385.5089	0.00	0.00
385.8561	0.00	0.00
386.2463	0.00	0.00
386.6328	0.00	0.00
387.0549	0.00	0.00
387.4261	0.00	0.00
387.7731	0.00	0.00
388.1580	0.00	0.00
388.5670	0.00	0.00
388.9511	0.00	0.00
389.3045	0.00	0.00
389.6864	0.00	0.00
390.0421	0.00	0.00
390.4307	0.00	0.00
390.7770	0.00	0.00
391.1834	0.00	0.00
391.5470	0.00	0.00
391.9418	0.00	0.00
392.2970	0.00	0.00
392.6910	0.00	0.00
393.0669	0.00	0.00
393.4569	0.00	0.00
393.8131	0.00	0.00
394.1916	0.00	0.00
394.5705	0.00	0.00
394.9516	0.00	0.00
395.2960	0.00	0.00
395.6614	0.00	0.00
396.0407	0.00	0.00
396.4231	0.00	0.00
396.7781	0.00	0.00
397.1764	0.00	0.00
397.5538	0.00	0.00
397.9509	0.00	0.00
398.3049	0.00	0.00
398.6929	0.00	0.00
399.1868	0.00	0.00
399.5688	0.00	0.00
399.9588	0.00	0.00
400.3041	0.00	0.00
400.6708	0.00	0.00
401.0472	0.00	0.00
401.4421	0.00	0.00
