sep= 
Time [s]	R2_m9 [ng/cm^2]	C1_m [ng/cm^2]
0.0000	Failed	Failed
1.2562	Failed	Failed
2.4979	Failed	Failed
3.7545	Failed	Failed
5.0005	Failed	Failed
6.2645	Failed	Failed
7.5209	Failed	Failed
8.7772	Failed	Failed
10.0377	Failed	Failed
11.3003	Failed	Failed
12.5607	Failed	Failed
13.8209	Failed	Failed
15.0742	Failed	Failed
16.3308	Failed	Failed
17.5912	Failed	Failed
18.8573	Failed	Failed
20.1168	Failed	Failed
21.3704	Failed	Failed
22.6314	Failed	Failed
23.8804	Failed	Failed
25.1316	Failed	Failed
26.3874	Failed	Failed
27.6394	Failed	Failed
28.8954	Failed	Failed
30.1447	Failed	Failed
31.3922	Failed	Failed
32.6373	Failed	Failed
33.8798	Failed	Failed
35.1327	Failed	Failed
36.3792	Failed	Failed
37.6186	Failed	Failed
38.8733	Failed	Failed
40.1215	Failed	Failed
41.3483	Failed	Failed
42.6079	Failed	Failed
43.8497	Failed	Failed
45.1006	Failed	Failed
46.3514	Failed	Failed
47.6004	Failed	Failed
48.8476	Failed	Failed
50.0967	Failed	Failed
51.3470	Failed	Failed
52.5894	Failed	Failed
53.8390	Failed	Failed
55.0895	Failed	Failed
56.2992	Failed	Failed
57.6135	Failed	Failed
58.8678	Failed	Failed
60.1292	Failed	Failed
61.3814	Failed	Failed
62.6275	Failed	Failed
63.8761	Failed	Failed
65.1245	Failed	Failed
66.3556	Failed	Failed
67.5987	Failed	Failed
68.8419	Failed	Failed
70.0835	Failed	Failed
71.3336	Failed	Failed
72.5858	Failed	Failed
73.8325	Failed	Failed
75.0785	Failed	Failed
76.3223	Failed	Failed
77.5749	Failed	Failed
78.8158	Failed	Failed
80.0630	Failed	Failed
81.3129	Failed	Failed
82.5642	Failed	Failed
83.8251	Failed	Failed
85.0758	Failed	Failed
86.3152	Failed	Failed
87.5681	Failed	Failed
88.8183	Failed	Failed
90.0760	Failed	Failed
91.3217	Failed	Failed
92.5471	Failed	Failed
93.7935	Failed	Failed
95.0277	Failed	Failed
96.2736	Failed	Failed
97.5159	Failed	Failed
98.7619	Failed	Failed
100.0159	Failed	Failed
101.2413	Failed	Failed
102.4944	Failed	Failed
103.7449	Failed	Failed
104.9987	Failed	Failed
106.2443	Failed	Failed
107.5018	Failed	Failed
108.7467	Failed	Failed
109.9920	Failed	Failed
111.2352	Failed	Failed
112.4838	Failed	Failed
113.7356	Failed	Failed
114.9844	Failed	Failed
116.2371	Failed	Failed
117.4859	Failed	Failed
118.7423	Failed	Failed
120.0048	Failed	Failed
121.2587	Failed	Failed
122.5113	Failed	Failed
123.7571	Failed	Failed
124.9971	Failed	Failed
126.2510	Failed	Failed
127.4964	Failed	Failed
128.7465	Failed	Failed
130.0024	Failed	Failed
131.2639	Failed	Failed
132.5065	Failed	Failed
133.7599	Failed	Failed
135.0119	Failed	Failed
136.2722	Failed	Failed
137.5285	Failed	Failed
138.7859	Failed	Failed
140.0337	Failed	Failed
141.2903	Failed	Failed
142.5462	Failed	Failed
143.8059	Failed	Failed
145.0554	Failed	Failed
146.3079	Failed	Failed
147.5401	Failed	Failed
148.7984	Failed	Failed
150.0449	Failed	Failed
151.2981	Failed	Failed
152.5531	Failed	Failed
153.7991	Failed	Failed
155.0513	Failed	Failed
156.2992	Failed	Failed
157.5394	Failed	Failed
158.7917	Failed	Failed
160.0500	Failed	Failed
161.2733	Failed	Failed
162.5368	Failed	Failed
163.7826	Failed	Failed
165.0409	Failed	Failed
166.2840	Failed	Failed
167.5327	Failed	Failed
168.7807	Failed	Failed
170.0245	Failed	Failed
171.2716	Failed	Failed
172.5173	Failed	Failed
173.7650	Failed	Failed
175.0239	Failed	Failed
176.2684	Failed	Failed
177.5201	Failed	Failed
178.7721	Failed	Failed
180.0219	Failed	Failed
181.2727	Failed	Failed
182.5222	Failed	Failed
183.7629	Failed	Failed
185.0136	Failed	Failed
186.2548	Failed	Failed
187.5114	Failed	Failed
188.7523	Failed	Failed
189.9930	Failed	Failed
191.2450	Failed	Failed
192.4976	Failed	Failed
193.7532	Failed	Failed
194.9947	Failed	Failed
196.2468	Failed	Failed
197.5007	Failed	Failed
198.7468	Failed	Failed
199.9910	Failed	Failed
201.2482	Failed	Failed
202.4945	Failed	Failed
203.7458	Failed	Failed
204.9916	Failed	Failed
206.2421	Failed	Failed
207.4917	Failed	Failed
208.7422	Failed	Failed
209.9873	Failed	Failed
211.2448	Failed	Failed
212.4946	Failed	Failed
213.7409	Failed	Failed
214.9777	Failed	Failed
216.2298	Failed	Failed
217.4839	Failed	Failed
218.7262	Failed	Failed
219.9643	Failed	Failed
221.1889	Failed	Failed
222.4221	Failed	Failed
223.6690	0.00	0.00
224.9075	0.00	0.00
226.1458	0.00	0.00
227.3904	0.00	0.00
228.6301	0.00	0.00
229.8799	0.00	0.00
231.1199	0.00	0.00
233.6276	0.00	0.00
238.5167	0.00	0.00
239.6029	0.00	0.00
240.2883	0.00	0.00
243.8211	0.00	0.00
244.1667	0.00	0.00
244.5109	0.00	0.00
244.8553	0.00	0.00
245.1997	0.00	0.00
245.5633	0.00	0.00
245.8999	0.00	0.00
246.2566	0.00	0.00
246.6072	0.00	0.00
246.9709	0.00	0.00
247.3253	0.00	0.00
247.6750	0.00	0.00
248.0365	0.00	0.00
248.3895	0.00	0.00
248.7304	0.00	0.00
249.0807	0.00	0.00
249.4367	0.00	0.00
249.7863	0.00	0.00
250.1282	0.00	0.00
250.4943	0.00	0.00
250.8349	0.00	0.00
251.1792	0.00	0.00
251.4977	0.00	0.00
251.8268	0.00	0.00
252.1491	0.00	0.00
252.4809	0.00	0.00
252.7936	0.00	0.00
253.1111	0.00	0.00
253.4685	0.00	0.00
253.8079	0.00	0.00
254.1478	0.00	0.00
254.5063	0.00	0.00
254.8288	0.00	0.00
255.1661	0.00	0.00
255.5400	0.00	0.00
255.8931	0.00	0.00
256.2412	0.00	0.00
256.6074	0.00	0.00
256.9623	0.00	0.00
257.3120	0.00	0.00
257.6563	0.00	0.00
257.9869	0.00	0.00
258.2990	0.00	0.00
258.6428	0.00	0.00
258.9543	0.00	0.00
259.2661	0.00	0.00
259.6196	0.00	0.00
259.9706	0.00	0.00
260.3194	0.00	0.00
260.6697	0.00	0.00
260.9981	0.00	0.00
261.3396	0.00	0.00
261.6995	0.00	0.00
262.0571	0.00	0.00
262.4091	0.00	0.00
262.7529	0.00	0.00
263.1082	0.00	0.00
263.4470	0.00	0.00
263.8023	0.00	0.00
264.1620	0.00	0.00
264.5100	0.00	0.00
264.8586	0.00	0.00
265.2088	0.00	0.00
265.5648	0.00	0.00
265.9160	0.00	0.00
266.2553	0.00	0.00
266.6208	0.00	0.00
266.9531	0.00	0.00
267.3070	0.00	0.00
267.6636	0.00	0.00
268.0075	0.00	0.00
268.3604	0.00	0.00
268.7140	0.00	0.00
269.0584	0.00	0.00
269.4123	0.00	0.00
269.7509	0.00	0.00
270.1242	0.00	0.00
270.4692	0.00	0.00
270.8201	0.00	0.00
271.1646	0.00	0.00
271.5220	0.00	0.00
271.8639	0.00	0.00
272.2063	0.00	0.00
272.6732	0.00	0.00
273.0121	0.00	0.00
273.3556	0.00	0.00
273.7254	0.00	0.00
274.0892	0.00	0.00
274.4294	0.00	0.00
274.7764	0.00	0.00
