sep= 
Time [s]	R2_m5 [ng/cm^2]	C1_m [ng/cm^2]
0.0000	Failed	Failed
1.0991	Failed	Failed
2.1753	Failed	Failed
3.3047	Failed	Failed
4.4399	Failed	Failed
5.5638	Failed	Failed
6.6929	Failed	Failed
7.8302	Failed	Failed
8.9643	Failed	Failed
10.0985	Failed	Failed
11.2328	Failed	Failed
12.3731	Failed	Failed
13.5117	Failed	Failed
14.6536	Failed	Failed
15.7892	Failed	Failed
16.8903	Failed	Failed
18.0183	Failed	Failed
19.1352	Failed	Failed
20.2672	Failed	Failed
21.3910	Failed	Failed
22.5215	Failed	Failed
23.6422	Failed	Failed
24.7712	Failed	Failed
25.8987	Failed	Failed
27.0306	Failed	Failed
28.1680	Failed	Failed
29.2895	Failed	Failed
30.4171	Failed	Failed
31.5438	Failed	Failed
32.6656	Failed	Failed
33.7992	Failed	Failed
34.9300	Failed	Failed
36.0645	Failed	Failed
37.1887	Failed	Failed
38.3187	Failed	Failed
39.4405	Failed	Failed
40.5695	Failed	Failed
41.6957	Failed	Failed
42.8044	Failed	Failed
43.9115	Failed	Failed
45.0407	Failed	Failed
46.1625	Failed	Failed
47.2882	Failed	Failed
48.4151	Failed	Failed
49.5332	Failed	Failed
50.6690	Failed	Failed
51.7935	Failed	Failed
52.9265	Failed	Failed
54.0424	Failed	Failed
55.1779	Failed	Failed
56.3013	Failed	Failed
57.4292	Failed	Failed
58.5540	Failed	Failed
59.6701	Failed	Failed
60.7974	Failed	Failed
61.9174	Failed	Failed
63.0430	Failed	Failed
64.1726	Failed	Failed
65.3001	Failed	Failed
66.4184	Failed	Failed
67.5479	Failed	Failed
68.6761	Failed	Failed
69.7960	Failed	Failed
70.9226	Failed	Failed
72.0461	Failed	Failed
73.1752	Failed	Failed
74.2931	Failed	Failed
75.4126	Failed	Failed
76.5186	Failed	Failed
77.6399	Failed	Failed
78.7698	Failed	Failed
79.8872	Failed	Failed
81.0227	Failed	Failed
82.1525	Failed	Failed
83.2817	Failed	Failed
84.4069	Failed	Failed
85.5421	Failed	Failed
86.6669	Failed	Failed
87.7577	Failed	Failed
88.8606	Failed	Failed
89.9807	Failed	Failed
91.1017	Failed	Failed
92.2281	Failed	Failed
93.3455	Failed	Failed
94.4653	Failed	Failed
95.5938	Failed	Failed
96.7250	Failed	Failed
97.8544	Failed	Failed
98.9719	Failed	Failed
100.0992	Failed	Failed
101.2282	Failed	Failed
102.3395	Failed	Failed
103.4613	Failed	Failed
104.5670	Failed	Failed
105.6943	Failed	Failed
106.8090	Failed	Failed
107.9202	Failed	Failed
109.0259	Failed	Failed
110.1543	Failed	Failed
111.2651	Failed	Failed
112.3781	Failed	Failed
113.5031	Failed	Failed
114.6206	Failed	Failed
115.7548	Failed	Failed
116.8697	Failed	Failed
117.9922	Failed	Failed
119.1009	Failed	Failed
120.2309	Failed	Failed
121.3449	Failed	Failed
122.4662	Failed	Failed
123.5966	Failed	Failed
124.7070	Failed	Failed
125.8370	Failed	Failed
126.9569	Failed	Failed
128.0799	Failed	Failed
129.2052	Failed	Failed
130.3289	Failed	Failed
131.4439	Failed	Failed
132.5581	Failed	Failed
133.6835	Failed	Failed
134.7939	Failed	Failed
135.9241	Failed	Failed
137.0062	Failed	Failed
138.1169	Failed	Failed
139.2279	Failed	Failed
140.3445	Failed	Failed
141.4765	Failed	Failed
142.6088	Failed	Failed
143.7322	Failed	Failed
144.8469	Failed	Failed
145.9763	Failed	Failed
147.0894	Failed	Failed
148.2060	Failed	Failed
149.3102	Failed	Failed
150.4196	Failed	Failed
151.5335	Failed	Failed
152.6452	Failed	Failed
153.7488	Failed	Failed
154.8671	Failed	Failed
155.9755	Failed	Failed
157.0853	Failed	Failed
158.1982	Failed	Failed
159.3024	Failed	Failed
160.4143	Failed	Failed
161.5247	Failed	Failed
162.6446	Failed	Failed
163.7444	Failed	Failed
164.8508	Failed	Failed
165.9655	Failed	Failed
167.0743	Failed	Failed
168.1845	Failed	Failed
169.3010	Failed	Failed
170.4136	Failed	Failed
172.7846	0.00	0.00
176.8390	0.00	0.00
178.0538	0.00	0.00
178.3933	0.00	0.00
178.7492	0.00	0.00
179.1049	0.00	0.00
179.4557	0.00	0.00
179.7953	0.00	0.00
180.1358	0.00	0.00
180.4966	0.00	0.00
180.8463	0.00	0.00
181.1800	0.00	0.00
181.5313	0.00	0.00
181.8836	0.00	0.00
182.2254	0.00	0.00
182.5756	0.00	0.00
182.9306	0.00	0.00
183.2641	0.00	0.00
183.6093	0.00	0.00
183.9681	0.00	0.00
184.3074	0.00	0.00
184.6706	0.00	0.00
185.0332	0.00	0.00
185.3627	0.00	0.00
185.7047	0.00	0.00
186.0672	0.00	0.00
186.4006	0.00	0.00
186.7389	0.00	0.00
187.0967	0.00	0.00
187.4369	0.00	0.00
187.7837	0.00	0.00
188.1277	0.00	0.00
188.4876	0.00	0.00
188.8360	0.00	0.00
189.1886	0.00	0.00
189.5327	0.00	0.00
189.8786	0.00	0.00
190.2148	0.00	0.00
190.5769	0.00	0.00
190.9346	0.00	0.00
191.2737	0.00	0.00
191.6193	0.00	0.00
191.9697	0.00	0.00
192.3057	0.00	0.00
192.6557	0.00	0.00
193.0137	0.00	0.00
193.3535	0.00	0.00
193.6763	0.00	0.00
194.0463	0.00	0.00
194.3911	0.00	0.00
194.7346	0.00	0.00
195.0999	0.00	0.00
195.4405	0.00	0.00
195.7858	0.00	0.00
196.1357	0.00	0.00
196.4853	0.00	0.00
196.7954	0.00	0.00
197.1356	0.00	0.00
197.4773	0.00	0.00
197.8106	0.00	0.00
198.1674	0.00	0.00
198.5125	0.00	0.00
198.8529	0.00	0.00
199.1947	0.00	0.00
199.5382	0.00	0.00
199.8766	0.00	0.00
200.2150	0.00	0.00
200.5690	0.00	0.00
200.9202	0.00	0.00
201.2786	0.00	0.00
201.6328	0.00	0.00
201.9796	0.00	0.00
202.3192	0.00	0.00
202.6778	0.00	0.00
203.0285	0.00	0.00
203.3771	0.00	0.00
203.7125	0.00	0.00
204.0738	0.00	0.00
204.4289	0.00	0.00
204.7723	0.00	0.00
205.1500	0.00	0.00
205.4867	0.00	0.00
205.8112	0.00	0.00
206.1806	0.00	0.00
206.5199	0.00	0.00
206.8736	0.00	0.00
207.2300	0.00	0.00
207.5918	0.00	0.00
207.9288	0.00	0.00
208.2604	0.00	0.00
208.6089	0.00	0.00
208.9550	0.00	0.00
209.3151	0.00	0.00
209.6627	0.00	0.00
209.9994	0.00	0.00
210.3349	0.00	0.00
210.6991	0.00	0.00
211.0435	0.00	0.00
211.3803	0.00	0.00
211.7363	0.00	0.00
212.0835	0.00	0.00
212.4301	0.00	0.00
212.7933	0.00	0.00
213.1586	0.00	0.00
213.4980	0.00	0.00
213.8317	0.00	0.00
214.1915	0.00	0.00
214.5248	0.00	0.00
214.8762	0.00	0.00
215.2363	0.00	0.00
215.5755	0.00	0.00
215.9106	0.00	0.00
216.2712	0.00	0.00
216.6201	0.00	0.00
216.9601	0.00	0.00
217.3134	0.00	0.00
217.6686	0.00	0.00
218.0120	0.00	0.00
218.3540	0.00	0.00
218.7075	0.00	0.00
219.0455	0.00	0.00
219.3827	0.00	0.00
219.7350	0.00	0.00
220.0766	0.00	0.00
220.4165	0.00	0.00
220.7710	0.00	0.00
221.1288	0.00	0.00
221.4640	0.00	0.00
221.8335	0.00	0.00
222.1885	0.00	0.00
222.5337	0.00	0.00
222.8763	0.00	0.00
223.2311	0.00	0.00
223.5808	0.00	0.00
223.9136	0.00	0.00
224.2738	0.00	0.00
224.6122	0.00	0.00
224.9625	0.00	0.00
225.3107	0.00	0.00
225.6554	0.00	0.00
225.9882	0.00	0.00
226.3345	0.00	0.00
226.7005	0.00	0.00
227.0369	0.00	0.00
227.3798	0.00	0.00
227.7338	0.00	0.00
228.0706	0.00	0.00
228.4150	0.00	0.00
228.7768	0.00	0.00
229.1120	0.00	0.00
229.4459	0.00	0.00
229.7962	0.00	0.00
230.1228	0.00	0.00
230.4564	0.00	0.00
230.8206	0.00	0.00
231.1603	0.00	0.00
231.4919	0.00	0.00
231.8354	0.00	0.00
232.1788	0.00	0.00
232.5833	0.00	0.00
232.9169	0.00	0.00
233.2858	0.00	0.00
233.6332	0.00	0.00
233.9877	0.00	0.00
234.3212	0.00	0.00
234.6603	0.00	0.00
235.0085	0.00	0.00
235.3624	0.00	0.00
