sep= 
Time [s]	R1_m5 [ng/cm^2]	C1_m [ng/cm^2]
0.0000	Failed	Failed
1.0017	Failed	Failed
2.0055	Failed	Failed
3.0052	Failed	Failed
4.0025	Failed	Failed
4.9924	Failed	Failed
5.9881	Failed	Failed
6.9897	Failed	Failed
7.9917	Failed	Failed
8.9924	Failed	Failed
9.9937	Failed	Failed
10.9966	Failed	Failed
12.0004	Failed	Failed
13.0021	Failed	Failed
13.9872	Failed	Failed
14.9868	Failed	Failed
15.9874	Failed	Failed
16.9895	Failed	Failed
17.9913	Failed	Failed
18.9933	Failed	Failed
19.9939	Failed	Failed
20.9915	Failed	Failed
21.9923	Failed	Failed
22.9950	Failed	Failed
23.9979	Failed	Failed
24.9969	Failed	Failed
25.9957	Failed	Failed
26.9976	Failed	Failed
27.9998	Failed	Failed
29.0029	Failed	Failed
30.0055	Failed	Failed
30.9984	Failed	Failed
32.0005	Failed	Failed
33.0037	Failed	Failed
34.0012	Failed	Failed
35.0025	Failed	Failed
36.0031	Failed	Failed
37.0043	Failed	Failed
38.0062	Failed	Failed
39.0041	Failed	Failed
40.0022	Failed	Failed
41.0032	Failed	Failed
42.2907	Failed	Failed
43.4409	Failed	Failed
44.4452	Failed	Failed
45.7425	Failed	Failed
46.7332	Failed	Failed
47.7328	Failed	Failed
48.7317	Failed	Failed
49.7288	Failed	Failed
50.7219	Failed	Failed
51.7238	Failed	Failed
52.7246	Failed	Failed
53.7219	Failed	Failed
54.7217	Failed	Failed
55.7134	Failed	Failed
56.6964	Failed	Failed
57.6916	Failed	Failed
58.6946	Failed	Failed
59.6963	Failed	Failed
60.6981	Failed	Failed
61.7000	Failed	Failed
62.7026	Failed	Failed
63.7017	Failed	Failed
64.7022	Failed	Failed
65.7034	Failed	Failed
66.7060	Failed	Failed
67.7081	Failed	Failed
68.7113	Failed	Failed
69.7086	Failed	Failed
70.7071	Failed	Failed
71.7056	Failed	Failed
72.7066	Failed	Failed
73.7051	Failed	Failed
74.6944	Failed	Failed
75.6952	Failed	Failed
76.6919	Failed	Failed
77.6926	Failed	Failed
78.6937	Failed	Failed
79.6869	Failed	Failed
80.6875	Failed	Failed
81.6907	Failed	Failed
82.6906	Failed	Failed
83.6888	Failed	Failed
84.6847	Failed	Failed
85.6822	Failed	Failed
86.6849	Failed	Failed
87.6851	Failed	Failed
88.6786	Failed	Failed
89.6753	Failed	Failed
90.6714	Failed	Failed
91.6733	Failed	Failed
92.6731	Failed	Failed
93.6712	Failed	Failed
94.6702	Failed	Failed
95.6665	Failed	Failed
96.6643	Failed	Failed
97.6622	Failed	Failed
98.6532	Failed	Failed
99.6527	Failed	Failed
100.6501	Failed	Failed
101.6491	Failed	Failed
102.6401	Failed	Failed
103.6334	Failed	Failed
104.6179	Failed	Failed
105.6166	Failed	Failed
106.6162	Failed	Failed
107.6160	Failed	Failed
108.6172	Failed	Failed
109.6187	Failed	Failed
110.6133	Failed	Failed
111.6150	Failed	Failed
112.6132	Failed	Failed
113.6140	Failed	Failed
114.6165	Failed	Failed
115.6154	Failed	Failed
116.6117	Failed	Failed
117.6086	Failed	Failed
118.6066	Failed	Failed
119.6059	Failed	Failed
120.6044	Failed	Failed
121.6037	Failed	Failed
122.6033	Failed	Failed
123.6017	Failed	Failed
124.6014	Failed	Failed
125.6025	Failed	Failed
126.5995	Failed	Failed
127.6000	Failed	Failed
128.5960	Failed	Failed
129.5884	Failed	Failed
130.5865	Failed	Failed
131.5864	Failed	Failed
132.5830	Failed	Failed
133.5743	Failed	Failed
134.5661	Failed	Failed
135.5609	Failed	Failed
136.5436	Failed	Failed
137.5424	Failed	Failed
138.5398	Failed	Failed
139.5403	Failed	Failed
140.5412	Failed	Failed
141.5381	Failed	Failed
142.5355	Failed	Failed
143.5310	Failed	Failed
144.5315	Failed	Failed
145.5327	Failed	Failed
146.5331	Failed	Failed
147.5345	Failed	Failed
148.5324	Failed	Failed
149.5293	Failed	Failed
150.5288	Failed	Failed
151.5297	Failed	Failed
152.5298	Failed	Failed
153.5299	Failed	Failed
154.5268	Failed	Failed
155.5269	Failed	Failed
156.5298	Failed	Failed
157.5172	Failed	Failed
158.5182	Failed	Failed
159.5198	Failed	Failed
160.5177	Failed	Failed
161.5166	Failed	Failed
162.5114	Failed	Failed
163.5085	Failed	Failed
164.5098	Failed	Failed
165.5025	Failed	Failed
166.4948	Failed	Failed
167.4916	Failed	Failed
168.4765	Failed	Failed
169.4760	Failed	Failed
170.4732	Failed	Failed
171.4765	Failed	Failed
172.4744	Failed	Failed
173.4735	Failed	Failed
174.4735	Failed	Failed
175.4723	Failed	Failed
176.4727	Failed	Failed
177.4744	Failed	Failed
178.4757	Failed	Failed
179.4773	Failed	Failed
180.4782	Failed	Failed
181.4740	Failed	Failed
182.4704	Failed	Failed
183.4721	Failed	Failed
184.4715	Failed	Failed
185.4687	Failed	Failed
186.4650	Failed	Failed
187.4626	Failed	Failed
188.4610	Failed	Failed
189.4595	Failed	Failed
190.4591	0.00	0.00
191.4556	0.00	0.00
194.5025	0.00	0.00
