sep= 
Time [s]	R2_m9 [ng/cm^2]	C1_m [ng/cm^2]
0.0000	Failed	Failed
1.2720	Failed	Failed
2.5413	Failed	Failed
3.8170	Failed	Failed
5.0878	Failed	Failed
6.3534	Failed	Failed
7.6195	Failed	Failed
8.8897	Failed	Failed
10.1661	Failed	Failed
11.4397	Failed	Failed
12.7171	Failed	Failed
13.9987	Failed	Failed
15.2724	Failed	Failed
16.5491	Failed	Failed
17.8232	Failed	Failed
19.1055	Failed	Failed
20.3812	Failed	Failed
21.6558	Failed	Failed
22.9329	Failed	Failed
24.2104	Failed	Failed
25.4764	Failed	Failed
26.7470	Failed	Failed
28.0343	Failed	Failed
29.3110	Failed	Failed
30.5969	Failed	Failed
31.8744	Failed	Failed
33.1397	Failed	Failed
34.4226	Failed	Failed
35.6983	Failed	Failed
36.9724	Failed	Failed
38.2488	Failed	Failed
39.5188	Failed	Failed
40.7803	Failed	Failed
42.0543	Failed	Failed
43.3265	Failed	Failed
44.6065	Failed	Failed
45.8815	Failed	Failed
47.1522	Failed	Failed
48.4327	Failed	Failed
49.7177	Failed	Failed
50.9997	Failed	Failed
52.2707	Failed	Failed
53.5424	Failed	Failed
54.8250	Failed	Failed
56.0946	Failed	Failed
57.3595	Failed	Failed
58.6344	Failed	Failed
59.9018	Failed	Failed
61.1769	Failed	Failed
62.4489	Failed	Failed
63.7142	Failed	Failed
64.9978	Failed	Failed
66.2699	Failed	Failed
67.5377	Failed	Failed
68.8211	Failed	Failed
70.0936	Failed	Failed
71.3723	Failed	Failed
72.6482	Failed	Failed
73.9152	Failed	Failed
75.1880	Failed	Failed
76.4586	Failed	Failed
77.7258	Failed	Failed
79.0031	Failed	Failed
80.2697	Failed	Failed
81.5408	Failed	Failed
82.8186	Failed	Failed
84.0846	Failed	Failed
85.3594	Failed	Failed
86.6357	Failed	Failed
87.9079	Failed	Failed
89.1839	Failed	Failed
90.4494	Failed	Failed
91.7253	Failed	Failed
92.9960	Failed	Failed
94.2666	Failed	Failed
95.5416	Failed	Failed
96.8175	Failed	Failed
98.0927	Failed	Failed
99.3674	Failed	Failed
100.6187	Failed	Failed
101.8917	Failed	Failed
103.1642	Failed	Failed
104.4265	Failed	Failed
105.7013	Failed	Failed
106.9745	Failed	Failed
108.2392	Failed	Failed
109.5092	Failed	Failed
110.7633	Failed	Failed
112.0327	Failed	Failed
113.2980	Failed	Failed
114.5684	Failed	Failed
115.8386	Failed	Failed
117.1177	Failed	Failed
118.3842	Failed	Failed
119.6465	Failed	Failed
120.9053	Failed	Failed
122.1844	Failed	Failed
123.4504	Failed	Failed
124.7121	Failed	Failed
125.9941	Failed	Failed
127.2582	Failed	Failed
128.5373	Failed	Failed
129.8066	Failed	Failed
131.0714	Failed	Failed
132.3351	Failed	Failed
133.5931	Failed	Failed
134.8334	Failed	Failed
136.1103	Failed	Failed
137.3695	Failed	Failed
138.6281	Failed	Failed
139.8983	Failed	Failed
141.1613	Failed	Failed
142.4293	Failed	Failed
143.6955	Failed	Failed
144.9667	Failed	Failed
146.2395	Failed	Failed
147.5063	Failed	Failed
148.7732	Failed	Failed
150.0415	Failed	Failed
151.3046	Failed	Failed
152.5687	Failed	Failed
153.8354	Failed	Failed
155.1051	Failed	Failed
156.3816	Failed	Failed
157.6431	Failed	Failed
158.9124	Failed	Failed
160.1754	Failed	Failed
161.4268	Failed	Failed
162.7007	Failed	Failed
163.9599	Failed	Failed
165.2257	Failed	Failed
166.5000	Failed	Failed
167.7564	Failed	Failed
169.0234	Failed	Failed
170.2899	Failed	Failed
171.5408	Failed	Failed
172.8116	Failed	Failed
174.0725	Failed	Failed
175.3337	Failed	Failed
176.5993	Failed	Failed
177.8554	Failed	Failed
179.1166	Failed	Failed
180.3826	Failed	Failed
181.6425	Failed	Failed
182.9113	Failed	Failed
184.1787	Failed	Failed
185.4368	Failed	Failed
186.7029	Failed	Failed
187.9752	Failed	Failed
189.2506	Failed	Failed
190.5059	Failed	Failed
191.7652	Failed	Failed
193.0386	Failed	Failed
194.3030	Failed	Failed
195.5618	Failed	Failed
196.8230	Failed	Failed
198.0923	Failed	Failed
199.3628	Failed	Failed
200.6306	Failed	Failed
201.8776	Failed	Failed
203.1403	Failed	Failed
204.4028	Failed	Failed
205.6618	Failed	Failed
206.9241	Failed	Failed
208.1932	Failed	Failed
209.6621	Failed	Failed
215.1503	Failed	Failed
216.4337	0.00	0.00
216.7694	0.00	0.00
217.1356	0.00	0.00
217.4810	0.00	0.00
217.8236	0.00	0.00
218.1851	0.00	0.00
218.5227	0.00	0.00
218.8791	0.00	0.00
219.2352	0.00	0.00
219.5900	0.00	0.00
219.9241	0.00	0.00
220.2723	0.00	0.00
220.5708	0.00	0.00
220.9153	0.00	0.00
221.2679	0.00	0.00
221.6229	0.00	0.00
221.9626	0.00	0.00
222.3102	0.00	0.00
222.6656	0.00	0.00
223.0118	0.00	0.00
223.3492	0.00	0.00
223.7151	0.00	0.00
224.0548	0.00	0.00
224.3959	0.00	0.00
224.7431	0.00	0.00
225.1118	0.00	0.00
225.4558	0.00	0.00
225.7938	0.00	0.00
226.1396	0.00	0.00
226.4811	0.00	0.00
226.8154	0.00	0.00
227.1959	0.00	0.00
227.5375	0.00	0.00
227.8894	0.00	0.00
228.2484	0.00	0.00
228.5975	0.00	0.00
228.9438	0.00	0.00
229.2973	0.00	0.00
229.6492	0.00	0.00
229.9866	0.00	0.00
230.3213	0.00	0.00
230.6757	0.00	0.00
231.0200	0.00	0.00
231.3456	0.00	0.00
231.6868	0.00	0.00
232.0240	0.00	0.00
232.3573	0.00	0.00
232.6783	0.00	0.00
232.9808	0.00	0.00
233.3034	0.00	0.00
233.6467	0.00	0.00
233.9757	0.00	0.00
234.3162	0.00	0.00
234.6695	0.00	0.00
235.0181	0.00	0.00
235.4900	0.00	0.00
235.8354	0.00	0.00
236.1868	0.00	0.00
236.5279	0.00	0.00
236.8692	0.00	0.00
237.2206	0.00	0.00
237.5536	0.00	0.00
237.8941	0.00	0.00
238.2409	0.00	0.00
238.5722	0.00	0.00
238.9269	0.00	0.00
239.3016	0.00	0.00
239.6367	0.00	0.00
240.0011	0.00	0.00
240.3607	0.00	0.00
240.6830	0.00	0.00
241.0098	0.00	0.00
241.3617	0.00	0.00
241.7128	0.00	0.00
242.0588	0.00	0.00
242.4053	0.00	0.00
242.7414	0.00	0.00
243.0719	0.00	0.00
243.4163	0.00	0.00
243.7644	0.00	0.00
244.0999	0.00	0.00
244.4330	0.00	0.00
244.7802	0.00	0.00
245.0969	0.00	0.00
245.4529	0.00	0.00
245.7665	0.00	0.00
246.0831	0.00	0.00
246.4088	0.00	0.00
246.7527	0.00	0.00
247.0920	0.00	0.00
247.4467	0.00	0.00
247.7962	0.00	0.00
248.1383	0.00	0.00
248.4709	0.00	0.00
248.8114	0.00	0.00
249.1516	0.00	0.00
249.5006	0.00	0.00
249.8569	0.00	0.00
250.1957	0.00	0.00
250.5013	0.00	0.00
250.8502	0.00	0.00
251.1913	0.00	0.00
251.5371	0.00	0.00
251.8798	0.00	0.00
252.2153	0.00	0.00
252.5489	0.00	0.00
252.8988	0.00	0.00
253.2398	0.00	0.00
253.5884	0.00	0.00
253.9499	0.00	0.00
254.2989	0.00	0.00
254.6191	0.00	0.00
254.9767	0.00	0.00
255.3379	0.00	0.00
255.6665	0.00	0.00
256.0105	0.00	0.00
256.3396	0.00	0.00
256.6617	0.00	0.00
257.0041	0.00	0.00
257.3448	0.00	0.00
257.6816	0.00	0.00
258.0282	0.00	0.00
258.3731	0.00	0.00
258.7005	0.00	0.00
259.0497	0.00	0.00
259.3896	0.00	0.00
259.7184	0.00	0.00
260.0610	0.00	0.00
260.4229	0.00	0.00
260.7469	0.00	0.00
261.0939	0.00	0.00
261.4253	0.00	0.00
261.7635	0.00	0.00
262.1235	0.00	0.00
262.4846	0.00	0.00
262.8162	0.00	0.00
263.1544	0.00	0.00
263.5178	0.00	0.00
263.8566	0.00	0.00
264.2041	0.00	0.00
264.5489	0.00	0.00
264.8877	0.00	0.00
265.2240	0.00	0.00
265.5291	0.00	0.00
265.8874	0.00	0.00
266.2225	0.00	0.00
266.5698	0.00	0.00
266.9832	0.00	0.00
267.4477	0.00	0.00
267.8048	0.00	0.00
268.1353	0.00	0.00
268.4789	0.00	0.00
268.8173	0.00	0.00
269.1589	0.00	0.00
269.5289	0.00	0.00
269.8525	0.00	0.00
270.1857	0.00	0.00
270.5374	0.00	0.00
270.8898	0.00	0.00
271.2324	0.00	0.00
271.5838	0.00	0.00
271.9449	0.00	0.00
272.3027	0.00	0.00
272.6532	0.00	0.00
273.0080	0.00	0.00
273.3533	0.00	0.00
273.6959	0.00	0.00
274.0660	0.00	0.00
274.4028	0.00	0.00
274.7337	0.00	0.00
275.1033	0.00	0.00
275.4694	0.00	0.00
275.8076	0.00	0.00
276.1659	0.00	0.00
276.5218	0.00	0.00
276.8543	0.00	0.00
277.2143	0.00	0.00
277.5851	0.00	0.00
277.9201	0.00	0.00
278.2614	0.00	0.00
278.6268	0.00	0.00
278.9602	0.00	0.00
279.2914	0.00	0.00
279.6249	0.00	0.00
279.9822	0.00	0.00
280.3374	0.00	0.00
280.6523	0.00	0.00
280.9914	0.00	0.00
281.3432	0.00	0.00
281.6831	0.00	0.00
282.0379	0.00	0.00
282.3754	0.00	0.00
282.7110	0.00	0.00
283.0518	0.00	0.00
283.3879	0.00	0.00
283.7261	0.00	0.00
284.0814	0.00	0.00
284.4386	0.00	0.00
284.7781	0.00	0.00
285.1305	0.00	0.00
285.4587	0.00	0.00
285.8028	0.00	0.00
286.1702	0.00	0.00
286.5104	0.00	0.00
286.8363	0.00	0.00
287.1875	0.00	0.00
287.5494	0.00	0.00
287.8801	0.00	0.00
288.2251	0.00	0.00
288.5762	0.00	0.00
288.9177	0.00	0.00
289.2685	0.00	0.00
289.6298	0.00	0.00
289.9604	0.00	0.00
290.3244	0.00	0.00
290.6938	0.00	0.00
291.0293	0.00	0.00
291.3625	0.00	0.00
291.7146	0.00	0.00
292.0589	0.00	0.00
292.3981	0.00	0.00
292.7452	0.00	0.00
293.0811	0.00	0.00
293.4116	0.00	0.00
293.7589	0.00	0.00
294.1155	0.00	0.00
294.4603	0.00	0.00
294.8055	0.00	0.00
295.1478	0.00	0.00
295.5231	0.00	0.00
295.8558	0.00	0.00
296.2234	0.00	0.00
296.5986	0.00	0.00
296.9450	0.00	0.00
297.2880	0.00	0.00
297.6792	0.00	0.00
298.0258	0.00	0.00
298.3690	0.00	0.00
298.7262	0.00	0.00
299.0633	0.00	0.00
299.4302	0.00	0.00
299.7834	0.00	0.00
300.1503	0.00	0.00
300.4922	0.00	0.00
300.8282	0.00	0.00
301.1677	0.00	0.00
301.5155	0.00	0.00
301.8538	0.00	0.00
302.2098	0.00	0.00
302.5818	0.00	0.00
302.9169	0.00	0.00
303.2771	0.00	0.00
303.6142	0.00	0.00
303.9474	0.00	0.00
304.3129	0.00	0.00
304.6525	0.00	0.00
304.9957	0.00	0.00
305.3407	0.00	0.00
305.6827	0.00	0.00
306.0310	0.00	0.00
306.3745	0.00	0.00
306.7221	0.00	0.00
307.0698	0.00	0.00
307.4099	0.00	0.00
307.7852	0.00	0.00
308.1206	0.00	0.00
308.4628	0.00	0.00
308.8405	0.00	0.00
309.1754	0.00	0.00
309.5285	0.00	0.00
309.8793	0.00	0.00
310.2205	0.00	0.00
310.5671	0.00	0.00
310.9124	0.00	0.00
311.2539	0.00	0.00
311.5917	0.00	0.00
311.9403	0.00	0.00
312.3088	0.00	0.00
312.6498	0.00	0.00
312.9903	0.00	0.00
313.3330	0.00	0.00
313.6903	0.00	0.00
314.0250	0.00	0.00
314.3987	0.00	0.00
314.7589	0.00	0.00
315.0991	0.00	0.00
315.4506	0.00	0.00
315.7989	0.00	0.00
316.1340	0.00	0.00
316.4863	0.00	0.00
316.8318	0.00	0.00
317.1680	0.00	0.00
317.5072	0.00	0.00
317.8721	0.00	0.00
318.2358	0.00	0.00
318.5692	0.00	0.00
318.9232	0.00	0.00
319.2607	0.00	0.00
319.5844	0.00	0.00
319.9439	0.00	0.00
320.2802	0.00	0.00
320.6132	0.00	0.00
320.9673	0.00	0.00
321.3151	0.00	0.00
321.6438	0.00	0.00
322.0031	0.00	0.00
322.3634	0.00	0.00
322.7278	0.00	0.00
323.0786	0.00	0.00
323.4259	0.00	0.00
323.7703	0.00	0.00
324.1017	0.00	0.00
324.4543	0.00	0.00
324.7820	0.00	0.00
325.1073	0.00	0.00
325.4541	0.00	0.00
325.7826	0.00	0.00
326.1205	0.00	0.00
326.4900	0.00	0.00
326.8316	0.00	0.00
327.1781	0.00	0.00
327.5312	0.00	0.00
327.8893	0.00	0.00
328.2268	0.00	0.00
328.5689	0.00	0.00
328.9213	0.00	0.00
329.2586	0.00	0.00
329.5943	0.00	0.00
329.9466	0.00	0.00
330.2850	0.00	0.00
330.6275	0.00	0.00
330.9781	0.00	0.00
331.3096	0.00	0.00
331.6445	0.00	0.00
331.9968	0.00	0.00
332.3363	0.00	0.00
332.6822	0.00	0.00
333.0477	0.00	0.00
333.3803	0.00	0.00
333.7244	0.00	0.00
334.0747	0.00	0.00
334.4228	0.00	0.00
334.7588	0.00	0.00
335.1140	0.00	0.00
335.4934	0.00	0.00
335.8231	0.00	0.00
336.1759	0.00	0.00
336.5502	0.00	0.00
336.8883	0.00	0.00
337.2334	0.00	0.00
337.5939	0.00	0.00
337.9341	0.00	0.00
338.2942	0.00	0.00
338.6378	0.00	0.00
338.9845	0.00	0.00
339.3221	0.00	0.00
339.6694	0.00	0.00
340.0336	0.00	0.00
340.3652	0.00	0.00
340.7058	0.00	0.00
341.0144	0.00	0.00
341.3668	0.00	0.00
341.7134	0.00	0.00
342.0771	0.00	0.00
342.4146	0.00	0.00
342.7529	0.00	0.00
343.1058	0.00	0.00
343.4677	0.00	0.00
343.8010	0.00	0.00
344.1500	0.00	0.00
344.5170	0.00	0.00
344.8500	0.00	0.00
345.2023	0.00	0.00
345.5651	0.00	0.00
345.9009	0.00	0.00
346.2436	0.00	0.00
346.5999	0.00	0.00
346.9374	0.00	0.00
347.2815	0.00	0.00
347.6364	0.00	0.00
347.9737	0.00	0.00
348.3280	0.00	0.00
348.6743	0.00	0.00
349.0221	0.00	0.00
349.3637	0.00	0.00
349.7119	0.00	0.00
350.0757	0.00	0.00
350.4109	0.00	0.00
350.7776	0.00	0.00
351.1314	0.00	0.00
351.4546	0.00	0.00
351.7833	0.00	0.00
352.1397	0.00	0.00
352.4729	0.00	0.00
352.8080	0.00	0.00
353.1629	0.00	0.00
353.5031	0.00	0.00
353.8313	0.00	0.00
354.1883	0.00	0.00
354.5412	0.00	0.00
354.8745	0.00	0.00
355.2370	0.00	0.00
