sep= 
Time [s]	R2_m5 [ng/cm^2]	C1_m [ng/cm^2]
0.0000	Failed	Failed
1.1316	Failed	Failed
2.2876	Failed	Failed
3.4459	Failed	Failed
4.6013	Failed	Failed
5.7501	Failed	Failed
6.9130	Failed	Failed
8.0776	Failed	Failed
9.2351	Failed	Failed
10.3935	Failed	Failed
11.5510	Failed	Failed
12.7127	Failed	Failed
13.8723	Failed	Failed
15.0238	Failed	Failed
16.1802	Failed	Failed
17.3332	Failed	Failed
18.4885	Failed	Failed
19.6441	Failed	Failed
20.7868	Failed	Failed
21.9451	Failed	Failed
23.1020	Failed	Failed
24.2617	Failed	Failed
25.4151	Failed	Failed
26.5709	Failed	Failed
27.7269	Failed	Failed
28.8829	Failed	Failed
30.0388	Failed	Failed
31.1901	Failed	Failed
32.3449	Failed	Failed
33.4918	Failed	Failed
34.6416	Failed	Failed
35.7982	Failed	Failed
36.9534	Failed	Failed
38.1074	Failed	Failed
39.2593	Failed	Failed
40.4103	Failed	Failed
41.5606	Failed	Failed
42.7073	Failed	Failed
43.8598	Failed	Failed
45.0100	Failed	Failed
46.1595	Failed	Failed
47.3087	Failed	Failed
48.4667	Failed	Failed
49.6208	Failed	Failed
50.7633	Failed	Failed
51.9179	Failed	Failed
53.0736	Failed	Failed
54.2341	Failed	Failed
55.3906	Failed	Failed
56.5440	Failed	Failed
57.6932	Failed	Failed
58.8451	Failed	Failed
59.9270	Failed	Failed
61.0248	Failed	Failed
62.1756	Failed	Failed
63.3274	Failed	Failed
64.4796	Failed	Failed
65.6160	Failed	Failed
66.7669	Failed	Failed
67.9101	Failed	Failed
69.0353	Failed	Failed
70.1788	Failed	Failed
71.3297	Failed	Failed
72.4802	Failed	Failed
73.6279	Failed	Failed
74.7759	Failed	Failed
75.9130	Failed	Failed
77.0497	Failed	Failed
78.2090	Failed	Failed
79.3653	Failed	Failed
80.5082	Failed	Failed
81.6617	Failed	Failed
82.8125	Failed	Failed
83.9645	Failed	Failed
85.1203	Failed	Failed
86.2769	Failed	Failed
87.4291	Failed	Failed
88.5722	Failed	Failed
89.7287	Failed	Failed
90.8750	Failed	Failed
92.0175	Failed	Failed
93.1719	Failed	Failed
94.3277	Failed	Failed
95.4726	Failed	Failed
96.6181	Failed	Failed
97.7567	Failed	Failed
98.9017	Failed	Failed
100.0534	Failed	Failed
101.2075	Failed	Failed
102.3657	Failed	Failed
103.5086	Failed	Failed
104.6592	Failed	Failed
105.8063	Failed	Failed
106.9558	Failed	Failed
108.1033	Failed	Failed
109.2411	Failed	Failed
110.3880	Failed	Failed
111.5417	Failed	Failed
112.6872	Failed	Failed
113.8320	Failed	Failed
114.9883	Failed	Failed
116.1349	Failed	Failed
117.2829	Failed	Failed
118.4306	Failed	Failed
119.5801	Failed	Failed
120.7295	Failed	Failed
121.8462	Failed	Failed
122.9997	Failed	Failed
124.1452	Failed	Failed
125.2904	Failed	Failed
126.4343	Failed	Failed
127.5936	Failed	Failed
128.7407	Failed	Failed
129.8906	Failed	Failed
131.0314	Failed	Failed
132.1682	Failed	Failed
133.3078	Failed	Failed
134.4464	Failed	Failed
135.5867	Failed	Failed
136.7169	Failed	Failed
137.8693	Failed	Failed
139.0120	Failed	Failed
140.1473	Failed	Failed
141.2944	Failed	Failed
142.4363	Failed	Failed
143.5816	Failed	Failed
144.7310	Failed	Failed
145.8817	Failed	Failed
147.0285	Failed	Failed
148.1758	Failed	Failed
149.2864	Failed	Failed
150.4367	Failed	Failed
151.5833	Failed	Failed
152.7284	Failed	Failed
153.8744	Failed	Failed
155.0178	Failed	Failed
156.1616	Failed	Failed
157.3146	Failed	Failed
158.4518	Failed	Failed
159.5987	Failed	Failed
160.7397	Failed	Failed
161.8838	Failed	Failed
163.0268	Failed	Failed
164.1765	Failed	Failed
165.3263	Failed	Failed
166.4777	Failed	Failed
167.6220	Failed	Failed
168.7623	Failed	Failed
169.8974	Failed	Failed
171.0400	Failed	Failed
172.1859	Failed	Failed
173.3333	Failed	Failed
174.4845	Failed	Failed
175.6281	Failed	Failed
176.7737	Failed	Failed
177.9178	Failed	Failed
179.0362	Failed	Failed
180.1705	Failed	Failed
181.2949	Failed	Failed
182.4501	Failed	Failed
183.6033	Failed	Failed
184.7554	Failed	Failed
185.8960	Failed	Failed
187.0419	Failed	Failed
188.1829	Failed	Failed
189.2859	Failed	Failed
190.4234	Failed	Failed
191.5757	Failed	Failed
192.7320	Failed	Failed
196.6290	0.00	0.00
199.5258	0.00	0.00
200.2772	0.00	0.00
200.6205	0.00	0.00
200.9729	0.00	0.00
201.3117	0.00	0.00
201.6521	0.00	0.00
202.0030	0.00	0.00
202.3556	0.00	0.00
202.6921	0.00	0.00
203.0338	0.00	0.00
203.3916	0.00	0.00
203.7425	0.00	0.00
204.0875	0.00	0.00
204.4427	0.00	0.00
204.7868	0.00	0.00
205.1276	0.00	0.00
205.4790	0.00	0.00
205.8249	0.00	0.00
206.1693	0.00	0.00
206.5299	0.00	0.00
206.8692	0.00	0.00
207.2127	0.00	0.00
207.5594	0.00	0.00
207.9334	0.00	0.00
208.2918	0.00	0.00
208.6329	0.00	0.00
208.9747	0.00	0.00
209.3242	0.00	0.00
209.6759	0.00	0.00
210.0232	0.00	0.00
210.3719	0.00	0.00
210.7181	0.00	0.00
211.0701	0.00	0.00
211.4319	0.00	0.00
211.7749	0.00	0.00
212.1076	0.00	0.00
212.4669	0.00	0.00
212.8160	0.00	0.00
213.1494	0.00	0.00
213.5038	0.00	0.00
213.8549	0.00	0.00
214.1919	0.00	0.00
214.5466	0.00	0.00
214.8902	0.00	0.00
215.2287	0.00	0.00
215.5855	0.00	0.00
215.9272	0.00	0.00
216.2698	0.00	0.00
216.6204	0.00	0.00
216.9718	0.00	0.00
217.3170	0.00	0.00
217.6726	0.00	0.00
218.0308	0.00	0.00
218.3711	0.00	0.00
218.7236	0.00	0.00
219.0811	0.00	0.00
219.4310	0.00	0.00
219.7759	0.00	0.00
220.1229	0.00	0.00
220.4822	0.00	0.00
220.8246	0.00	0.00
221.1723	0.00	0.00
221.5268	0.00	0.00
221.8681	0.00	0.00
222.2124	0.00	0.00
222.5645	0.00	0.00
222.9725	0.00	0.00
223.3099	0.00	0.00
223.6689	0.00	0.00
224.0070	0.00	0.00
224.3518	0.00	0.00
224.7090	0.00	0.00
225.0484	0.00	0.00
225.3867	0.00	0.00
225.7437	0.00	0.00
226.0843	0.00	0.00
226.4141	0.00	0.00
226.7642	0.00	0.00
227.1033	0.00	0.00
227.4609	0.00	0.00
227.8139	0.00	0.00
228.1604	0.00	0.00
228.4968	0.00	0.00
228.8384	0.00	0.00
229.1958	0.00	0.00
229.5368	0.00	0.00
229.8665	0.00	0.00
230.2132	0.00	0.00
230.5689	0.00	0.00
230.9617	0.00	0.00
231.3055	0.00	0.00
231.6686	0.00	0.00
232.0118	0.00	0.00
232.3480	0.00	0.00
232.7299	0.00	0.00
233.0741	0.00	0.00
233.4148	0.00	0.00
233.7640	0.00	0.00
234.1113	0.00	0.00
234.4497	0.00	0.00
234.7983	0.00	0.00
235.1578	0.00	0.00
235.5078	0.00	0.00
235.8460	0.00	0.00
236.2057	0.00	0.00
236.5668	0.00	0.00
236.8968	0.00	0.00
237.2550	0.00	0.00
237.6017	0.00	0.00
237.9409	0.00	0.00
238.3019	0.00	0.00
238.6720	0.00	0.00
239.0124	0.00	0.00
239.3645	0.00	0.00
239.7288	0.00	0.00
240.0300	0.00	0.00
240.3296	0.00	0.00
240.6208	0.00	0.00
240.9197	0.00	0.00
241.2098	0.00	0.00
241.5060	0.00	0.00
241.8283	0.00	0.00
242.1807	0.00	0.00
242.5220	0.00	0.00
242.8773	0.00	0.00
243.2280	0.00	0.00
243.5698	0.00	0.00
243.9159	0.00	0.00
244.2737	0.00	0.00
244.6233	0.00	0.00
244.9883	0.00	0.00
245.3436	0.00	0.00
245.6771	0.00	0.00
246.0113	0.00	0.00
246.3784	0.00	0.00
246.7311	0.00	0.00
247.0727	0.00	0.00
247.4252	0.00	0.00
247.7797	0.00	0.00
248.1134	0.00	0.00
248.4565	0.00	0.00
248.8137	0.00	0.00
249.1520	0.00	0.00
249.4989	0.00	0.00
249.8723	0.00	0.00
250.2140	0.00	0.00
250.5613	0.00	0.00
250.9064	0.00	0.00
251.2590	0.00	0.00
251.5977	0.00	0.00
251.9485	0.00	0.00
252.3130	0.00	0.00
252.6639	0.00	0.00
253.0072	0.00	0.00
253.3708	0.00	0.00
