sep= 
Time [s]	R1_m5 [ng/cm^2]	C1_m [ng/cm^2]
0.0000	Failed	Failed
1.1465	Failed	Failed
2.2965	Failed	Failed
3.4475	Failed	Failed
4.5973	Failed	Failed
5.7474	Failed	Failed
6.8976	Failed	Failed
8.0468	Failed	Failed
9.1981	Failed	Failed
10.3469	Failed	Failed
11.4966	Failed	Failed
12.6461	Failed	Failed
13.7930	Failed	Failed
14.9404	Failed	Failed
16.0899	Failed	Failed
17.2375	Failed	Failed
18.3857	Failed	Failed
19.5317	Failed	Failed
20.6708	Failed	Failed
21.8191	Failed	Failed
22.9645	Failed	Failed
24.1145	Failed	Failed
25.2651	Failed	Failed
26.4137	Failed	Failed
27.5613	Failed	Failed
28.7089	Failed	Failed
29.8573	Failed	Failed
31.0074	Failed	Failed
32.1565	Failed	Failed
33.3043	Failed	Failed
34.4528	Failed	Failed
35.6033	Failed	Failed
36.7530	Failed	Failed
37.9009	Failed	Failed
39.0504	Failed	Failed
40.2006	Failed	Failed
41.3505	Failed	Failed
42.5008	Failed	Failed
43.6496	Failed	Failed
44.7997	Failed	Failed
45.9453	Failed	Failed
47.0958	Failed	Failed
48.2459	Failed	Failed
49.3970	Failed	Failed
50.5471	Failed	Failed
51.6981	Failed	Failed
52.8469	Failed	Failed
53.9994	Failed	Failed
55.1434	Failed	Failed
56.2960	Failed	Failed
57.4473	Failed	Failed
58.5906	Failed	Failed
59.7416	Failed	Failed
60.8932	Failed	Failed
62.0433	Failed	Failed
63.1953	Failed	Failed
64.3436	Failed	Failed
65.4947	Failed	Failed
66.6448	Failed	Failed
67.7967	Failed	Failed
68.9481	Failed	Failed
70.0975	Failed	Failed
71.2469	Failed	Failed
72.3956	Failed	Failed
73.5441	Failed	Failed
74.6918	Failed	Failed
75.8403	Failed	Failed
76.9890	Failed	Failed
78.1394	Failed	Failed
79.2880	Failed	Failed
80.4339	Failed	Failed
81.5822	Failed	Failed
82.7319	Failed	Failed
83.8703	Failed	Failed
85.0148	Failed	Failed
86.1612	Failed	Failed
87.3097	Failed	Failed
88.4585	Failed	Failed
89.6095	Failed	Failed
90.7585	Failed	Failed
91.9076	Failed	Failed
93.0379	Failed	Failed
94.1872	Failed	Failed
95.3306	Failed	Failed
96.4773	Failed	Failed
97.6253	Failed	Failed
98.7708	Failed	Failed
99.9086	Failed	Failed
101.0480	Failed	Failed
102.1871	Failed	Failed
103.3361	Failed	Failed
104.4856	Failed	Failed
105.6348	Failed	Failed
106.7823	Failed	Failed
107.9288	Failed	Failed
109.0765	Failed	Failed
110.2253	Failed	Failed
111.3664	Failed	Failed
112.5157	Failed	Failed
113.6649	Failed	Failed
114.8100	Failed	Failed
115.9578	Failed	Failed
117.1057	Failed	Failed
118.2540	Failed	Failed
119.4029	Failed	Failed
120.5510	Failed	Failed
121.6973	Failed	Failed
122.8397	Failed	Failed
123.9873	Failed	Failed
125.1360	Failed	Failed
126.2847	Failed	Failed
127.4329	Failed	Failed
128.5800	Failed	Failed
129.7241	Failed	Failed
130.8674	0.00	0.00
132.0139	0.00	0.00
133.1606	0.00	0.00
134.3101	0.00	0.00
135.4590	0.00	0.00
136.6065	0.00	0.00
137.7544	0.00	0.00
142.6133	0.00	0.00
144.7319	0.00	0.00
145.2646	0.00	0.00
145.6204	0.00	0.00
145.9770	0.00	0.00
146.3302	0.00	0.00
146.6879	0.00	0.00
147.0424	0.00	0.00
147.3958	0.00	0.00
147.7542	0.00	0.00
148.1009	0.00	0.00
148.4474	0.00	0.00
148.8039	0.00	0.00
149.1603	0.00	0.00
149.5090	0.00	0.00
149.8584	0.00	0.00
150.2151	0.00	0.00
150.5700	0.00	0.00
150.9238	0.00	0.00
151.2790	0.00	0.00
151.6340	0.00	0.00
151.9891	0.00	0.00
152.3411	0.00	0.00
152.6975	0.00	0.00
153.0531	0.00	0.00
153.4084	0.00	0.00
153.7662	0.00	0.00
154.1180	0.00	0.00
154.4759	0.00	0.00
154.8321	0.00	0.00
155.1899	0.00	0.00
155.5443	0.00	0.00
155.8989	0.00	0.00
156.2547	0.00	0.00
156.6086	0.00	0.00
156.9622	0.00	0.00
157.3172	0.00	0.00
157.6741	0.00	0.00
158.0428	0.00	0.00
158.3929	0.00	0.00
