sep= 
Time [s]	R1_m5 [ng/cm^2]	C1_m [ng/cm^2]
0.0000	Failed	Failed
1.1392	Failed	Failed
2.2796	Failed	Failed
3.4202	Failed	Failed
4.5600	Failed	Failed
5.7005	Failed	Failed
6.8412	Failed	Failed
7.9830	Failed	Failed
9.1247	Failed	Failed
10.2656	Failed	Failed
11.4065	Failed	Failed
12.5287	Failed	Failed
13.6667	Failed	Failed
14.8077	Failed	Failed
15.9483	Failed	Failed
17.0879	Failed	Failed
18.2248	Failed	Failed
19.3651	Failed	Failed
20.5061	Failed	Failed
21.6465	Failed	Failed
22.7871	Failed	Failed
23.9195	Failed	Failed
25.0593	Failed	Failed
26.2002	Failed	Failed
27.3402	Failed	Failed
28.4774	Failed	Failed
29.6179	Failed	Failed
30.7580	Failed	Failed
31.8977	Failed	Failed
33.0384	Failed	Failed
34.1777	Failed	Failed
35.3175	Failed	Failed
36.4577	Failed	Failed
37.5966	Failed	Failed
38.7372	Failed	Failed
39.8774	Failed	Failed
41.0174	Failed	Failed
42.1549	Failed	Failed
43.2963	Failed	Failed
44.4360	Failed	Failed
45.5756	Failed	Failed
46.7154	Failed	Failed
47.8554	Failed	Failed
48.9955	Failed	Failed
50.1355	Failed	Failed
51.2754	Failed	Failed
52.4156	Failed	Failed
53.5557	Failed	Failed
54.6931	Failed	Failed
55.8304	Failed	Failed
56.9705	Failed	Failed
58.1096	Failed	Failed
59.2434	Failed	Failed
60.3829	Failed	Failed
61.5230	Failed	Failed
62.6613	Failed	Failed
63.8026	Failed	Failed
64.9420	Failed	Failed
66.0814	Failed	Failed
67.2205	Failed	Failed
68.3601	Failed	Failed
69.5006	Failed	Failed
70.6401	Failed	Failed
71.7784	Failed	Failed
72.9173	Failed	Failed
74.0569	Failed	Failed
75.1962	Failed	Failed
76.3351	Failed	Failed
77.4742	Failed	Failed
78.6133	Failed	Failed
79.7532	Failed	Failed
80.8919	Failed	Failed
82.0324	Failed	Failed
83.1714	Failed	Failed
84.3103	Failed	Failed
85.4484	Failed	Failed
86.5863	Failed	Failed
87.7246	Failed	Failed
88.8638	Failed	Failed
90.0040	Failed	Failed
91.1441	Failed	Failed
92.2824	Failed	Failed
93.4233	Failed	Failed
94.5611	Failed	Failed
95.7010	Failed	Failed
96.8400	Failed	Failed
97.9794	Failed	Failed
99.1189	Failed	Failed
100.2583	Failed	Failed
101.3973	Failed	Failed
102.5361	Failed	Failed
103.6751	Failed	Failed
104.8140	Failed	Failed
105.9534	Failed	Failed
107.0928	Failed	Failed
108.2318	Failed	Failed
109.3707	Failed	Failed
110.5103	Failed	Failed
111.6499	Failed	Failed
112.7886	Failed	Failed
113.9289	Failed	Failed
115.0685	Failed	Failed
116.2081	Failed	Failed
117.3472	Failed	Failed
118.4853	Failed	Failed
119.6176	Failed	Failed
120.7570	Failed	Failed
121.8958	Failed	Failed
123.0363	Failed	Failed
124.1763	Failed	Failed
125.3153	Failed	Failed
126.4544	Failed	Failed
127.5919	Failed	Failed
128.7316	Failed	Failed
129.8698	Failed	Failed
131.0085	Failed	Failed
132.1477	Failed	Failed
133.2858	Failed	Failed
134.4240	Failed	Failed
135.5626	Failed	Failed
136.7009	Failed	Failed
137.8387	Failed	Failed
138.9776	Failed	Failed
140.1162	Failed	Failed
141.2549	Failed	Failed
142.3929	Failed	Failed
143.5320	Failed	Failed
144.6710	Failed	Failed
145.8115	Failed	Failed
146.9527	Failed	Failed
148.0900	Failed	Failed
149.2272	Failed	Failed
150.3664	Failed	Failed
151.5050	Failed	Failed
152.6430	Failed	Failed
153.7812	Failed	Failed
154.9195	Failed	Failed
156.0592	Failed	Failed
157.1967	Failed	Failed
158.3331	Failed	Failed
159.4719	Failed	Failed
160.6083	Failed	Failed
161.7452	0.00	0.00
162.8815	0.00	0.00
164.0204	0.00	0.00
165.1592	0.00	0.00
166.2978	0.00	0.00
169.7553	0.00	0.00
172.6865	0.00	0.00
173.4414	0.00	0.00
173.7979	0.00	0.00
174.1442	0.00	0.00
174.4882	0.00	0.00
174.8323	0.00	0.00
175.1809	0.00	0.00
175.5284	0.00	0.00
175.8820	0.00	0.00
176.2297	0.00	0.00
176.5805	0.00	0.00
176.9301	0.00	0.00
177.2870	0.00	0.00
177.6394	0.00	0.00
177.9892	0.00	0.00
178.3425	0.00	0.00
178.6962	0.00	0.00
179.0260	0.00	0.00
179.3606	0.00	0.00
179.7190	0.00	0.00
180.0666	0.00	0.00
180.4109	0.00	0.00
180.7654	0.00	0.00
181.1190	0.00	0.00
181.4867	0.00	0.00
181.8414	0.00	0.00
182.1923	0.00	0.00
182.5385	0.00	0.00
182.8911	0.00	0.00
183.2458	0.00	0.00
183.5973	0.00	0.00
183.9478	0.00	0.00
184.2966	0.00	0.00
184.6654	0.00	0.00
185.0141	0.00	0.00
185.3675	0.00	0.00
185.7220	0.00	0.00
186.0744	0.00	0.00
186.4258	0.00	0.00
186.7828	0.00	0.00
187.1337	0.00	0.00
187.4860	0.00	0.00
187.8397	0.00	0.00
188.1887	0.00	0.00
188.5388	0.00	0.00
188.8903	0.00	0.00
189.2461	0.00	0.00
189.5924	0.00	0.00
189.9358	0.00	0.00
190.2835	0.00	0.00
190.6285	0.00	0.00
190.9732	0.00	0.00
191.3187	0.00	0.00
191.6640	0.00	0.00
192.0149	0.00	0.00
192.3605	0.00	0.00
192.7138	0.00	0.00
193.0629	0.00	0.00
193.4139	0.00	0.00
193.7665	0.00	0.00
194.1087	0.00	0.00
194.4534	0.00	0.00
194.8056	0.00	0.00
195.1621	0.00	0.00
195.5104	0.00	0.00
195.8623	0.00	0.00
196.2195	0.00	0.00
196.5705	0.00	0.00
196.9280	0.00	0.00
197.2827	0.00	0.00
197.6325	0.00	0.00
197.9888	0.00	0.00
198.3383	0.00	0.00
198.6902	0.00	0.00
199.0422	0.00	0.00
199.3903	0.00	0.00
199.7473	0.00	0.00
200.0933	0.00	0.00
200.4422	0.00	0.00
200.7904	0.00	0.00
201.1612	0.00	0.00
201.5073	0.00	0.00
201.8620	0.00	0.00
202.2287	0.00	0.00
202.5792	0.00	0.00
202.9286	0.00	0.00
203.2767	0.00	0.00
203.6264	0.00	0.00
203.9832	0.00	0.00
204.3387	0.00	0.00
204.6892	0.00	0.00
205.0531	0.00	0.00
205.4038	0.00	0.00
205.7526	0.00	0.00
206.0951	0.00	0.00
206.4383	0.00	0.00
206.7943	0.00	0.00
207.1682	0.00	0.00
207.5157	0.00	0.00
207.8590	0.00	0.00
208.2109	0.00	0.00
208.5577	0.00	0.00
208.9328	0.00	0.00
209.2889	0.00	0.00
209.6724	0.00	0.00
210.0504	0.00	0.00
210.4015	0.00	0.00
210.7575	0.00	0.00
211.1150	0.00	0.00
211.4865	0.00	0.00
211.8395	0.00	0.00
212.1885	0.00	0.00
212.5549	0.00	0.00
212.9343	0.00	0.00
213.2870	0.00	0.00
213.6293	0.00	0.00
213.9724	0.00	0.00
214.3201	0.00	0.00
214.6695	0.00	0.00
215.0508	0.00	0.00
215.3997	0.00	0.00
215.7540	0.00	0.00
216.1200	0.00	0.00
216.5549	0.00	0.00
216.9406	0.00	0.00
217.2889	0.00	0.00
217.6326	0.00	0.00
217.9751	0.00	0.00
218.3258	0.00	0.00
218.6724	0.00	0.00
219.0420	0.00	0.00
219.3828	0.00	0.00
219.7386	0.00	0.00
220.1170	0.00	0.00
220.4963	0.00	0.00
220.8504	0.00	0.00
221.2304	0.00	0.00
221.6140	0.00	0.00
221.9962	0.00	0.00
222.3452	0.00	0.00
222.6988	0.00	0.00
223.0491	0.00	0.00
223.3975	0.00	0.00
223.7535	0.00	0.00
224.1112	0.00	0.00
224.4998	0.00	0.00
224.8513	0.00	0.00
225.2225	0.00	0.00
225.5690	0.00	0.00
225.9413	0.00	0.00
226.2952	0.00	0.00
226.6721	0.00	0.00
227.0150	0.00	0.00
227.3657	0.00	0.00
227.7317	0.00	0.00
228.0892	0.00	0.00
228.4376	0.00	0.00
228.7946	0.00	0.00
229.1695	0.00	0.00
229.5120	0.00	0.00
229.8552	0.00	0.00
230.2105	0.00	0.00
230.5525	0.00	0.00
230.9411	0.00	0.00
231.2983	0.00	0.00
231.6786	0.00	0.00
232.0603	0.00	0.00
232.4310	0.00	0.00
232.7815	0.00	0.00
233.1252	0.00	0.00
233.4976	0.00	0.00
233.8416	0.00	0.00
234.1909	0.00	0.00
234.5586	0.00	0.00
234.9465	0.00	0.00
235.3017	0.00	0.00
235.6760	0.00	0.00
236.0507	0.00	0.00
236.4494	0.00	0.00
236.7987	0.00	0.00
237.1766	0.00	0.00
237.5502	0.00	0.00
237.9459	0.00	0.00
238.2972	0.00	0.00
238.6583	0.00	0.00
239.0007	0.00	0.00
239.3239	0.00	0.00
239.6688	0.00	0.00
240.0603	0.00	0.00
240.4464	0.00	0.00
240.7849	0.00	0.00
241.1162	0.00	0.00
241.4424	0.00	0.00
241.7668	0.00	0.00
242.1077	0.00	0.00
242.4491	0.00	0.00
242.7972	0.00	0.00
243.1464	0.00	0.00
243.4894	0.00	0.00
243.8444	0.00	0.00
244.1879	0.00	0.00
244.5654	0.00	0.00
244.9224	0.00	0.00
245.2753	0.00	0.00
245.6343	0.00	0.00
246.0075	0.00	0.00
246.3479	0.00	0.00
246.7177	0.00	0.00
247.0606	0.00	0.00
247.4315	0.00	0.00
247.7799	0.00	0.00
248.1233	0.00	0.00
248.5088	0.00	0.00
248.8598	0.00	0.00
249.2415	0.00	0.00
249.6202	0.00	0.00
249.9807	0.00	0.00
250.3354	0.00	0.00
250.7474	0.00	0.00
251.1249	0.00	0.00
251.5104	0.00	0.00
251.8590	0.00	0.00
252.2532	0.00	0.00
252.6274	0.00	0.00
252.9969	0.00	0.00
253.3530	0.00	0.00
253.7483	0.00	0.00
254.1194	0.00	0.00
254.5137	0.00	0.00
254.8652	0.00	0.00
255.2364	0.00	0.00
255.6244	0.00	0.00
256.0068	0.00	0.00
256.3596	0.00	0.00
256.7363	0.00	0.00
257.0978	0.00	0.00
257.4565	0.00	0.00
257.8116	0.00	0.00
258.1827	0.00	0.00
258.5666	0.00	0.00
258.9352	0.00	0.00
259.2835	0.00	0.00
259.6381	0.00	0.00
260.0006	0.00	0.00
260.3542	0.00	0.00
260.7518	0.00	0.00
261.1392	0.00	0.00
261.5111	0.00	0.00
261.8540	0.00	0.00
262.2231	0.00	0.00
262.5711	0.00	0.00
262.9500	0.00	0.00
263.3057	0.00	0.00
263.6978	0.00	0.00
264.0806	0.00	0.00
264.4560	0.00	0.00
264.8055	0.00	0.00
265.1888	0.00	0.00
265.5814	0.00	0.00
265.9569	0.00	0.00
266.3122	0.00	0.00
266.6891	0.00	0.00
267.0687	0.00	0.00
267.4544	0.00	0.00
267.8115	0.00	0.00
268.1924	0.00	0.00
268.5718	0.00	0.00
268.9559	0.00	0.00
269.3087	0.00	0.00
269.7032	0.00	0.00
270.0559	0.00	0.00
270.4581	0.00	0.00
270.8150	0.00	0.00
271.1926	0.00	0.00
271.5672	0.00	0.00
271.9574	0.00	0.00
272.3110	0.00	0.00
272.6866	0.00	0.00
273.0564	0.00	0.00
273.4669	0.00	0.00
273.8209	0.00	0.00
274.1872	0.00	0.00
274.5766	0.00	0.00
274.9371	0.00	0.00
275.2835	0.00	0.00
275.6253	0.00	0.00
276.0104	0.00	0.00
276.3624	0.00	0.00
276.7596	0.00	0.00
277.1289	0.00	0.00
277.5153	0.00	0.00
277.8660	0.00	0.00
278.2421	0.00	0.00
278.6369	0.00	0.00
279.0122	0.00	0.00
279.3622	0.00	0.00
279.7501	0.00	0.00
280.1081	0.00	0.00
280.4474	0.00	0.00
280.8019	0.00	0.00
281.1825	0.00	0.00
281.5787	0.00	0.00
281.9682	0.00	0.00
282.3230	0.00	0.00
282.6909	0.00	0.00
283.0512	0.00	0.00
283.3920	0.00	0.00
283.7357	0.00	0.00
284.1155	0.00	0.00
284.5223	0.00	0.00
284.8708	0.00	0.00
285.2502	0.00	0.00
285.6486	0.00	0.00
286.0231	0.00	0.00
286.3716	0.00	0.00
286.7633	0.00	0.00
287.1396	0.00	0.00
287.5236	0.00	0.00
287.8744	0.00	0.00
288.2629	0.00	0.00
288.6366	0.00	0.00
289.0003	0.00	0.00
289.3559	0.00	0.00
289.7728	0.00	0.00
290.1371	0.00	0.00
290.5011	0.00	0.00
290.8546	0.00	0.00
291.2667	0.00	0.00
291.6429	0.00	0.00
292.0299	0.00	0.00
292.3795	0.00	0.00
292.7692	0.00	0.00
293.1111	0.00	0.00
293.5242	0.00	0.00
293.8755	0.00	0.00
294.2611	0.00	0.00
294.6379	0.00	0.00
295.0313	0.00	0.00
295.3833	0.00	0.00
295.7872	0.00	0.00
296.1973	0.00	0.00
296.5893	0.00	0.00
296.9727	0.00	0.00
297.3287	0.00	0.00
297.6946	0.00	0.00
298.0568	0.00	0.00
298.3953	0.00	0.00
298.7468	0.00	0.00
299.1428	0.00	0.00
299.5544	0.00	0.00
299.8775	0.00	0.00
300.2431	0.00	0.00
300.6483	0.00	0.00
301.0068	0.00	0.00
301.3599	0.00	0.00
301.7495	0.00	0.00
302.1163	0.00	0.00
302.5058	0.00	0.00
302.8573	0.00	0.00
303.2281	0.00	0.00
303.6248	0.00	0.00
304.0018	0.00	0.00
304.3488	0.00	0.00
304.7292	0.00	0.00
305.1122	0.00	0.00
305.4867	0.00	0.00
