sep= 
Time [s]	R1_m5 [ng/cm^2]	C1_m [ng/cm^2]
0.0000	Failed	Failed
0.9660	Failed	Failed
1.9312	Failed	Failed
2.8963	Failed	Failed
3.8579	Failed	Failed
4.7946	Failed	Failed
5.7319	Failed	Failed
6.6718	Failed	Failed
7.6101	Failed	Failed
8.5431	Failed	Failed
9.4834	Failed	Failed
10.4216	Failed	Failed
11.3606	Failed	Failed
12.3001	Failed	Failed
13.2398	Failed	Failed
14.1816	Failed	Failed
15.1169	Failed	Failed
16.0543	Failed	Failed
16.9935	Failed	Failed
17.9283	Failed	Failed
18.8571	Failed	Failed
19.7963	Failed	Failed
20.7628	Failed	Failed
21.7012	Failed	Failed
22.6664	Failed	Failed
23.6212	Failed	Failed
24.5897	Failed	Failed
25.5541	Failed	Failed
26.5220	Failed	Failed
27.4901	Failed	Failed
28.4580	Failed	Failed
29.4254	Failed	Failed
30.3985	Failed	Failed
31.3665	Failed	Failed
32.3332	Failed	Failed
33.2983	Failed	Failed
34.2627	Failed	Failed
35.2270	Failed	Failed
36.1946	Failed	Failed
37.1525	Failed	Failed
38.1195	Failed	Failed
39.0872	Failed	Failed
40.0537	Failed	Failed
41.0197	Failed	Failed
41.9879	Failed	Failed
42.9545	Failed	Failed
43.9222	Failed	Failed
44.8898	Failed	Failed
45.8580	Failed	Failed
46.8254	Failed	Failed
47.7928	Failed	Failed
48.7584	Failed	Failed
49.7250	Failed	Failed
50.6936	Failed	Failed
51.6599	Failed	Failed
52.6256	Failed	Failed
53.5936	Failed	Failed
54.5620	Failed	Failed
55.5304	Failed	Failed
56.4980	Failed	Failed
57.4662	Failed	Failed
58.4334	Failed	Failed
59.4014	Failed	Failed
60.3681	Failed	Failed
61.3356	Failed	Failed
62.3029	Failed	Failed
63.2693	Failed	Failed
64.2362	Failed	Failed
65.2031	Failed	Failed
66.1682	Failed	Failed
67.1331	Failed	Failed
68.0986	Failed	Failed
69.0619	Failed	Failed
70.0284	Failed	Failed
70.9957	Failed	Failed
71.9634	Failed	Failed
72.9301	Failed	Failed
73.8969	Failed	Failed
74.8639	Failed	Failed
75.8311	Failed	Failed
76.7969	Failed	Failed
77.7631	Failed	Failed
78.7305	Failed	Failed
79.6963	Failed	Failed
80.6621	Failed	Failed
81.6285	Failed	Failed
82.5959	Failed	Failed
83.5628	Failed	Failed
84.5306	Failed	Failed
85.4977	Failed	Failed
86.4646	Failed	Failed
87.4308	Failed	Failed
88.3979	Failed	Failed
89.3657	Failed	Failed
90.3329	Failed	Failed
91.3002	Failed	Failed
92.2657	Failed	Failed
93.2301	Failed	Failed
94.1929	Failed	Failed
95.1590	Failed	Failed
96.1220	Failed	Failed
97.0713	Failed	Failed
98.0374	Failed	Failed
99.0043	Failed	Failed
99.9718	Failed	Failed
100.9371	Failed	Failed
101.9036	Failed	Failed
102.8709	Failed	Failed
103.8381	Failed	Failed
104.8042	Failed	Failed
105.7699	Failed	Failed
106.7356	Failed	Failed
107.7015	Failed	Failed
108.6663	Failed	Failed
109.6317	Failed	Failed
110.5976	Failed	Failed
111.5619	Failed	Failed
112.5290	Failed	Failed
113.4925	Failed	Failed
114.4605	Failed	Failed
115.4268	Failed	Failed
116.3939	Failed	Failed
117.3608	Failed	Failed
118.3257	Failed	Failed
119.2906	Failed	Failed
120.2566	Failed	Failed
121.2209	Failed	Failed
122.2404	Failed	Failed
123.2073	Failed	Failed
124.1735	Failed	Failed
125.1393	Failed	Failed
126.1033	Failed	Failed
127.0678	Failed	Failed
128.0353	Failed	Failed
129.0025	Failed	Failed
129.9695	Failed	Failed
130.9339	Failed	Failed
131.8998	Failed	Failed
132.8674	Failed	Failed
133.8337	Failed	Failed
134.7999	Failed	Failed
135.7659	Failed	Failed
136.7313	Failed	Failed
137.6969	Failed	Failed
138.6631	Failed	Failed
139.6278	Failed	Failed
140.5931	Failed	Failed
141.5579	Failed	Failed
142.5245	Failed	Failed
143.4911	Failed	Failed
144.4577	0.00	0.00
145.4228	0.00	0.00
146.3889	0.00	0.00
147.3569	0.00	0.00
148.3223	0.00	0.00
150.6968	0.00	0.00
153.4721	0.00	0.00
154.2319	0.00	0.00
154.5836	0.00	0.00
154.9345	0.00	0.00
155.2906	0.00	0.00
155.6468	0.00	0.00
155.9938	0.00	0.00
156.3476	0.00	0.00
156.7063	0.00	0.00
157.0331	0.00	0.00
157.3697	0.00	0.00
157.7243	0.00	0.00
158.0873	0.00	0.00
158.4347	0.00	0.00
158.7891	0.00	0.00
159.1513	0.00	0.00
159.4986	0.00	0.00
159.8531	0.00	0.00
160.2150	0.00	0.00
160.5597	0.00	0.00
160.9123	0.00	0.00
161.2691	0.00	0.00
161.6189	0.00	0.00
161.9760	0.00	0.00
162.3299	0.00	0.00
162.6751	0.00	0.00
163.0318	0.00	0.00
163.3843	0.00	0.00
163.7311	0.00	0.00
164.0889	0.00	0.00
164.4418	0.00	0.00
164.7982	0.00	0.00
165.1548	0.00	0.00
165.5014	0.00	0.00
165.8479	0.00	0.00
166.1951	0.00	0.00
166.5398	0.00	0.00
166.8887	0.00	0.00
167.2354	0.00	0.00
167.5894	0.00	0.00
167.9409	0.00	0.00
168.2965	0.00	0.00
168.6468	0.00	0.00
168.9947	0.00	0.00
169.3441	0.00	0.00
169.7120	0.00	0.00
170.0623	0.00	0.00
170.4223	0.00	0.00
170.7776	0.00	0.00
171.1273	0.00	0.00
171.4823	0.00	0.00
171.8308	0.00	0.00
172.1775	0.00	0.00
172.5421	0.00	0.00
172.8927	0.00	0.00
173.2464	0.00	0.00
173.5969	0.00	0.00
173.9448	0.00	0.00
174.3013	0.00	0.00
174.6491	0.00	0.00
174.9956	0.00	0.00
175.3380	0.00	0.00
175.6847	0.00	0.00
176.0397	0.00	0.00
176.3901	0.00	0.00
176.7450	0.00	0.00
177.0990	0.00	0.00
177.4447	0.00	0.00
177.7945	0.00	0.00
178.1609	0.00	0.00
178.5090	0.00	0.00
178.8615	0.00	0.00
179.2175	0.00	0.00
179.5605	0.00	0.00
179.9270	0.00	0.00
180.2835	0.00	0.00
180.6609	0.00	0.00
181.0404	0.00	0.00
181.3903	0.00	0.00
181.7458	0.00	0.00
182.0914	0.00	0.00
182.4388	0.00	0.00
182.7860	0.00	0.00
183.1325	0.00	0.00
183.4723	0.00	0.00
183.8269	0.00	0.00
184.1765	0.00	0.00
184.5442	0.00	0.00
184.9261	0.00	0.00
185.2814	0.00	0.00
185.6644	0.00	0.00
186.0398	0.00	0.00
186.3875	0.00	0.00
186.7366	0.00	0.00
187.0973	0.00	0.00
187.4444	0.00	0.00
187.8007	0.00	0.00
188.1635	0.00	0.00
188.5468	0.00	0.00
188.8923	0.00	0.00
189.3007	0.00	0.00
189.6629	0.00	0.00
190.0468	0.00	0.00
190.4325	0.00	0.00
190.7823	0.00	0.00
191.1467	0.00	0.00
191.4932	0.00	0.00
191.8467	0.00	0.00
192.2234	0.00	0.00
192.6035	0.00	0.00
193.0462	0.00	0.00
193.4330	0.00	0.00
193.7825	0.00	0.00
194.1520	0.00	0.00
194.4972	0.00	0.00
194.8474	0.00	0.00
195.2164	0.00	0.00
197.0809	0.00	0.00
197.4198	0.00	0.00
197.7701	0.00	0.00
198.1233	0.00	0.00
198.4722	0.00	0.00
198.8237	0.00	0.00
199.1576	0.00	0.00
199.4719	0.00	0.00
199.8271	0.00	0.00
200.1753	0.00	0.00
200.5537	0.00	0.00
200.9407	0.00	0.00
201.2898	0.00	0.00
201.6693	0.00	0.00
202.0163	0.00	0.00
202.3674	0.00	0.00
202.7303	0.00	0.00
203.1112	0.00	0.00
203.4578	0.00	0.00
203.8113	0.00	0.00
204.1723	0.00	0.00
204.5188	0.00	0.00
204.8611	0.00	0.00
205.2155	0.00	0.00
205.5638	0.00	0.00
205.9431	0.00	0.00
206.3504	0.00	0.00
206.7399	0.00	0.00
207.1198	0.00	0.00
207.5050	0.00	0.00
207.8571	0.00	0.00
208.2318	0.00	0.00
208.6221	0.00	0.00
209.0635	0.00	0.00
209.4481	0.00	0.00
209.7995	0.00	0.00
210.1698	0.00	0.00
210.5111	0.00	0.00
210.8534	0.00	0.00
211.2085	0.00	0.00
211.5613	0.00	0.00
211.9473	0.00	0.00
212.3022	0.00	0.00
212.6835	0.00	0.00
213.0670	0.00	0.00
213.4519	0.00	0.00
213.8028	0.00	0.00
214.1809	0.00	0.00
214.6223	0.00	0.00
215.0184	0.00	0.00
215.3696	0.00	0.00
215.7383	0.00	0.00
216.1293	0.00	0.00
216.5072	0.00	0.00
216.8591	0.00	0.00
217.2172	0.00	0.00
217.5412	0.00	0.00
217.8883	0.00	0.00
218.2415	0.00	0.00
218.6118	0.00	0.00
219.0119	0.00	0.00
219.3657	0.00	0.00
219.7458	0.00	0.00
220.1217	0.00	0.00
220.5121	0.00	0.00
220.8544	0.00	0.00
221.2128	0.00	0.00
221.5565	0.00	0.00
221.9569	0.00	0.00
222.3123	0.00	0.00
222.6847	0.00	0.00
223.0448	0.00	0.00
223.3932	0.00	0.00
223.7546	0.00	0.00
224.1247	0.00	0.00
224.5097	0.00	0.00
224.8616	0.00	0.00
225.2369	0.00	0.00
225.6272	0.00	0.00
226.0010	0.00	0.00
226.3538	0.00	0.00
226.7485	0.00	0.00
227.1315	0.00	0.00
227.5074	0.00	0.00
227.8610	0.00	0.00
228.2543	0.00	0.00
228.6210	0.00	0.00
229.0052	0.00	0.00
229.3486	0.00	0.00
229.7290	0.00	0.00
230.1253	0.00	0.00
230.4853	0.00	0.00
230.8310	0.00	0.00
231.1746	0.00	0.00
231.5640	0.00	0.00
231.9580	0.00	0.00
232.3135	0.00	0.00
232.6760	0.00	0.00
233.0485	0.00	0.00
233.3956	0.00	0.00
233.7462	0.00	0.00
234.1041	0.00	0.00
234.4526	0.00	0.00
234.8087	0.00	0.00
235.1890	0.00	0.00
235.5759	0.00	0.00
235.9714	0.00	0.00
236.3263	0.00	0.00
236.6900	0.00	0.00
237.0763	0.00	0.00
237.4586	0.00	0.00
237.8124	0.00	0.00
238.1841	0.00	0.00
238.6304	0.00	0.00
239.0070	0.00	0.00
239.3494	0.00	0.00
239.7268	0.00	0.00
240.1327	0.00	0.00
240.5253	0.00	0.00
240.8772	0.00	0.00
241.2533	0.00	0.00
241.6342	0.00	0.00
242.0152	0.00	0.00
242.3586	0.00	0.00
242.7324	0.00	0.00
243.1403	0.00	0.00
243.5098	0.00	0.00
243.8555	0.00	0.00
244.2364	0.00	0.00
244.6229	0.00	0.00
245.0174	0.00	0.00
245.3594	0.00	0.00
245.7260	0.00	0.00
246.1407	0.00	0.00
246.5183	0.00	0.00
246.8664	0.00	0.00
247.2433	0.00	0.00
247.6192	0.00	0.00
248.0177	0.00	0.00
248.3706	0.00	0.00
248.7614	0.00	0.00
249.1331	0.00	0.00
249.5214	0.00	0.00
249.8710	0.00	0.00
250.2565	0.00	0.00
250.6158	0.00	0.00
251.0170	0.00	0.00
251.3660	0.00	0.00
251.7462	0.00	0.00
252.1428	0.00	0.00
252.5166	0.00	0.00
252.8676	0.00	0.00
253.2561	0.00	0.00
253.6153	0.00	0.00
254.0124	0.00	0.00
254.3658	0.00	0.00
254.7641	0.00	0.00
255.1397	0.00	0.00
255.5019	0.00	0.00
255.8559	0.00	0.00
256.2601	0.00	0.00
256.6393	0.00	0.00
257.0183	0.00	0.00
257.3602	0.00	0.00
257.7323	0.00	0.00
258.1407	0.00	0.00
258.5239	0.00	0.00
258.8735	0.00	0.00
259.2562	0.00	0.00
259.6143	0.00	0.00
260.0251	0.00	0.00
260.3772	0.00	0.00
260.7667	0.00	0.00
261.1414	0.00	0.00
261.5251	0.00	0.00
261.8736	0.00	0.00
262.2523	0.00	0.00
262.6402	0.00	0.00
263.0156	0.00	0.00
263.3684	0.00	0.00
263.7714	0.00	0.00
264.1597	0.00	0.00
264.5188	0.00	0.00
264.8696	0.00	0.00
265.2689	0.00	0.00
265.6448	0.00	0.00
266.0180	0.00	0.00
266.3715	0.00	0.00
266.7722	0.00	0.00
267.1351	0.00	0.00
267.5264	0.00	0.00
267.8780	0.00	0.00
268.2676	0.00	0.00
268.6495	0.00	0.00
269.0176	0.00	0.00
269.3633	0.00	0.00
269.7654	0.00	0.00
270.1456	0.00	0.00
270.5203	0.00	0.00
270.8701	0.00	0.00
271.2688	0.00	0.00
271.6548	0.00	0.00
272.0247	0.00	0.00
272.3745	0.00	0.00
272.7688	0.00	0.00
273.1444	0.00	0.00
273.5342	0.00	0.00
273.8824	0.00	0.00
274.2686	0.00	0.00
274.6229	0.00	0.00
274.9991	0.00	0.00
275.3518	0.00	0.00
275.7647	0.00	0.00
276.1223	0.00	0.00
276.5057	0.00	0.00
276.8588	0.00	0.00
277.2672	0.00	0.00
277.6806	0.00	0.00
278.0695	0.00	0.00
278.4521	0.00	0.00
278.8083	0.00	0.00
279.2097	0.00	0.00
279.5894	0.00	0.00
279.9672	0.00	0.00
280.3216	0.00	0.00
280.7250	0.00	0.00
281.1526	0.00	0.00
281.5349	0.00	0.00
281.8823	0.00	0.00
282.2658	0.00	0.00
282.6480	0.00	0.00
283.0041	0.00	0.00
283.3534	0.00	0.00
283.7653	0.00	0.00
284.1460	0.00	0.00
284.5329	0.00	0.00
284.8805	0.00	0.00
285.2646	0.00	0.00
285.6308	0.00	0.00
286.0372	0.00	0.00
286.3846	0.00	0.00
286.7734	0.00	0.00
287.1558	0.00	0.00
287.5381	0.00	0.00
287.8855	0.00	0.00
288.2716	0.00	0.00
288.6322	0.00	0.00
289.0124	0.00	0.00
289.3559	0.00	0.00
289.7543	0.00	0.00
290.1522	0.00	0.00
290.5415	0.00	0.00
290.8903	0.00	0.00
291.2803	0.00	0.00
291.6547	0.00	0.00
292.0443	0.00	0.00
292.3958	0.00	0.00
