sep= 
Time [s]	R1_m5 [ng/cm^2]	C1_m [ng/cm^2]
0.0000	Failed	Failed
1.2698	Failed	Failed
2.5382	Failed	Failed
3.8070	Failed	Failed
5.0760	Failed	Failed
6.3456	Failed	Failed
7.6138	Failed	Failed
8.8816	Failed	Failed
10.1495	Failed	Failed
11.4183	Failed	Failed
12.6849	Failed	Failed
13.9542	Failed	Failed
15.2228	Failed	Failed
16.4914	Failed	Failed
17.7593	Failed	Failed
19.0275	Failed	Failed
20.2952	Failed	Failed
21.5625	Failed	Failed
22.8300	Failed	Failed
24.0963	Failed	Failed
25.3634	Failed	Failed
26.6309	Failed	Failed
27.8989	Failed	Failed
29.1663	Failed	Failed
30.4339	Failed	Failed
31.7013	Failed	Failed
32.9680	Failed	Failed
34.2354	Failed	Failed
35.5053	Failed	Failed
36.7732	Failed	Failed
38.0408	Failed	Failed
39.2986	Failed	Failed
40.5661	Failed	Failed
41.8323	Failed	Failed
43.0985	Failed	Failed
44.3666	Failed	Failed
45.6345	Failed	Failed
46.9000	Failed	Failed
48.1664	Failed	Failed
49.4339	Failed	Failed
50.7004	Failed	Failed
51.9669	Failed	Failed
53.2349	Failed	Failed
54.5043	Failed	Failed
55.7700	Failed	Failed
57.0376	Failed	Failed
58.3049	Failed	Failed
59.5720	Failed	Failed
60.8375	Failed	Failed
62.1041	Failed	Failed
63.3705	Failed	Failed
64.6382	Failed	Failed
65.9051	Failed	Failed
67.1706	Failed	Failed
68.4384	Failed	Failed
69.7043	Failed	Failed
70.9743	Failed	Failed
72.2428	Failed	Failed
73.5107	Failed	Failed
74.7787	Failed	Failed
76.0453	Failed	Failed
77.3121	Failed	Failed
78.5789	Failed	Failed
79.8458	Failed	Failed
81.1111	Failed	Failed
82.3783	Failed	Failed
83.6474	Failed	Failed
84.9135	Failed	Failed
86.1815	Failed	Failed
87.4480	Failed	Failed
88.7149	Failed	Failed
89.9812	Failed	Failed
91.2475	Failed	Failed
92.5163	Failed	Failed
93.7842	Failed	Failed
95.0523	Failed	Failed
96.3195	Failed	Failed
97.5838	Failed	Failed
98.8509	Failed	Failed
100.1093	Failed	Failed
101.3772	Failed	Failed
102.6463	Failed	Failed
103.9121	Failed	Failed
105.1784	Failed	Failed
106.4460	Failed	Failed
107.7134	Failed	Failed
108.9786	Failed	Failed
110.2432	Failed	Failed
111.5104	Failed	Failed
112.7769	Failed	Failed
114.0430	Failed	Failed
115.3105	Failed	Failed
116.5768	Failed	Failed
117.8434	Failed	Failed
119.1097	Failed	Failed
120.3763	Failed	Failed
121.6402	Failed	Failed
122.9072	Failed	Failed
124.1721	Failed	Failed
125.4403	Failed	Failed
126.7073	Failed	Failed
127.9733	Failed	Failed
129.2398	Failed	Failed
130.5080	Failed	Failed
131.7761	Failed	Failed
133.0414	Failed	Failed
134.3097	Failed	Failed
135.5765	Failed	Failed
136.8416	Failed	Failed
138.1070	Failed	Failed
139.3735	0.00	0.00
140.6418	0.00	0.00
141.9089	0.00	0.00
143.1750	0.00	0.00
144.4417	0.00	0.00
150.4524	0.00	0.00
152.6519	0.00	0.00
153.1758	0.00	0.00
153.5272	0.00	0.00
153.8775	0.00	0.00
154.2323	0.00	0.00
154.5863	0.00	0.00
154.9275	0.00	0.00
155.2764	0.00	0.00
155.6265	0.00	0.00
155.9763	0.00	0.00
156.3288	0.00	0.00
156.6758	0.00	0.00
157.0220	0.00	0.00
157.3705	0.00	0.00
157.7229	0.00	0.00
158.0687	0.00	0.00
158.4162	0.00	0.00
158.7566	0.00	0.00
159.0987	0.00	0.00
159.4223	0.00	0.00
159.7507	0.00	0.00
160.0985	0.00	0.00
160.4479	0.00	0.00
160.8005	0.00	0.00
161.1514	0.00	0.00
161.4980	0.00	0.00
161.8596	0.00	0.00
162.2140	0.00	0.00
162.5586	0.00	0.00
162.8989	0.00	0.00
163.2539	0.00	0.00
163.5975	0.00	0.00
163.9453	0.00	0.00
164.2835	0.00	0.00
